,year,all_count,all_enrolled,allo_count,allo_enrolled,auto_count,auto_enrolled,both_count,both_enrolled,undeclared_count,undeclared_enrolled
0,1994,0,0,0,0,0,0,0,0,0,0
0,1995,1,9,0,0,0,0,0,0,1,9
0,1996,1,9,0,0,0,0,0,0,1,9
0,1997,1,9,0,0,0,0,0,0,1,9
0,1998,1,9,0,0,0,0,0,0,1,9
0,1999,2,17,0,0,0,0,0,0,2,17
0,2000,2,17,0,0,0,0,0,0,2,17
0,2001,2,17,0,0,0,0,0,0,2,17
0,2002,2,17,0,0,0,0,0,0,2,17
0,2003,3,69,0,0,0,0,0,0,3,69
0,2004,6,178,0,0,1,50,0,0,5,128
0,2005,14,575,2,43,1,50,0,0,11,482
0,2006,19,929,4,313,2,74,0,0,13,542
0,2007,27,1816,6,741,3,89,0,0,18,986
0,2008,45,2818,10,1068,8,231,0,0,27,1519
0,2009,71,4051,13,1429,12,301,0,0,46,2321
0,2010,103,4831,20,1563,21,468,0,0,62,2800
0,2011,127,5884,27,1924,25,573,1,37,74,3350
0,2012,164,7643,34,2296,35,809,1,37,94,4501
0,2013,208,9035,43,2533,44,951,1,37,120,5514
0,2014,261,10949,63,3584,53,1063,2,85,143,6217
0,2015,312,12278,78,3920,60,1175,2,85,172,7098
0,2016,359,14769,85,4150,69,1561,2,85,203,8973
0,2017,418,16923,93,4706,81,1917,2,85,242,10215
0,2018,473,19560,109,5507,90,2862,2,85,272,11106
0,2019,540,23154,134,7313,95,3054,2,85,309,12702
0,2020,664,34314,168,13734,106,3493,3,100,387,16987
0,2021,772,40092,205,15715,113,4067,4,220,450,20090
0,2022,881,44771,256,17809,119,4553,4,220,502,22189
0,2023,889,45050,257,17848,119,4553,4,220,509,22429
