,location
0,"010 : Triwest Research Associates : USA : Levy, Louis J. Levy, Louis J. Principal Investigator llevy@triwestresearch.com 619-589-6888 San Diego, CA, 92108, United States, San Diego, California, United States"
1,"2014 Department of Cardiology, The Heart Centre, University Hospital Rigshospitalet, Copenhagen, Denmark"
2,"A.O. Spedali Civili di Brescia, Brescia, Italy"
3,"AHEPA University Hospital, Thessaloniki, Greece"
4,"AM Diabetes & Endocrinology Center, Bartlett, Tennessee, United States"
5,"AMC, Amsterdam, Netherlands"
6,"AOU Città della Salute e della Scienza di Torino, Torino, Italy"
7,"AOUI Verona - Borgo Trento Hospital, Verona, Italy"
8,"ASAN Medical Center, Seoul, Korea, Republic of"
9,"ASST - Papa Giovanni XXIII - U.O. Nefrologia e Dialisi/ Mario Negri Institute for Pharmacological Research - Clinical Research Center for Rare Diseases Aldo e Cele Daccò, Bergamo, BG, Italy"
10,"ATP Clinical Research, Costa Mesa, California, United States"
11,"AZ Gasthuisberg Leuven, Leuven, Flamish Brabant, Belgium"
12,"AZ Glorieux, Ronse, Belgium"
13,"AZ St Jan, Brugge, West Flanders, Belgium"
14,"AZ VUB Jette, Brussels, Brabant, Belgium"
15,"Abramson Cancer Center, University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States"
16,"Academic Medical Center, Amsterdam, Netherlands"
17,"Accurate Clinical Research, Houston, Texas, United States"
18,"Accurate Clinical Research, Pasadena, Texas, United States"
19,"Active Practices and Research, Newington, New Hampshire, United States"
20,"Advanced Clinical Research Institute, Anaheim, California, United States"
21,"Advanced Research for Health Improvement, LLC, Naples, Florida, United States"
22,"Akershus university hospital, Lørenskog, Viken, Norway"
23,"Al azhar universty, Cairo Governorate, Egypt"
24,"Al-Zahra Heart Hospital, Shiraz University of Medical Sciences, Shiraz, Fars, Iran, Islamic Republic of"
25,"Albano Clinic, Salt Lake City, Utah, United States"
26,"Albert Einstein College of Medicine, New York, New York, United States"
27,"Alfred I. DuPont Hospital for Children of the Nemours Foundation, Wilmington, Delaware, United States"
28,"Alfred I. duPont Hospital for Children of the Nemours Foundation, Wilmington, Delaware, United States"
29,"Aljazeera( Al Gazeera) hospital, Giza, Egypt"
30,"All Children's Hospital, Saint Petersburg, Florida, United States"
31,"Allegheney Center for Digestive Health, Pittsburgh, Pennsylvania, United States"
32,"Allegheny General Hospital, Pittsburgh, Pennsylvania, United States"
33,"Alliance Against Diabetes/AAD Clinical Research, Las Vegas, Nevada, United States"
34,"Altoona Center for Clinical Research, Duncansville, Pennsylvania, United States"
35,"American Health Research, Charlotte, North Carolina, United States"
36,"American Health Research, Inc., Charlotte, North Carolina, United States"
37,"Amrita Institute of Medical Sciences, Kochi, Kerala, India"
38,"Andrews Institute, Gulf Breeze, Florida, United States"
39,"Ankara University Biotechnology Institute, Ankara, Türkiye, Turkey"
40,"Ankara University School of Medicine Department of Hematology, Ankara, Turkey"
41,"Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States"
42,"Anupam Hospital, Rudrapur, Uttarakhand, India"
43,"Anupam Hospital, Rudrapur, Uttaranchal, India"
44,"Anupam Hospital, Rudrapur, Uttrakhand, India"
45,"Arienda Spedali Civili di Brescia II Ortopedia e Traumatologia, Brescia, Italy"
46,"Arizona Cancer Center, Tucson, Arizona, United States"
47,"Arizona Heart Institute, Phoenix, Arizona, United States"
48,"Arizona Pain Specialists, Scottsdale, Arizona, United States"
49,"Armed Forces Bone Marrow Transplant Centre, Rawalpindi, Pakistan"
50,"Armed Forces Bone Marrow Transplant Centre, Rawalpindi, Punjab, Pakistan"
51,"Arnaud de villeneuve Hospital, Montpellier, Herault, France"
52,"Arthritis Center, Palm Harbor, Florida, United States"
53,"Arthritis Treatment Center, Frederick, Maryland, United States"
54,"Arthrocare Arthritis Care and Research PC, Gilbert, Arizona, United States"
55,"Asan Medical Center, Seoul, Korea, Republic of"
56,"Asan medical center, Seoul, Korea, Republic of"
57,"Asan medical center, Songpa-Gu, Seoul, Korea, Republic of"
58,"Ascension St. John, Tulsa, Oklahoma, United States"
59,"Asian American Liver Centre - Gleneagles Hospital (Annexe Block), Singapore, Singapore"
60,"Asian Institute Of Gastroenterology, Hyderabad, Telangana, India"
61,"Assistance Publique - Hôpitaux De Paris, Créteil, France"
62,"Asthma and Allergy Consultants, Wichita, Kansas, United States"
63,"Atlanta Gastroenterology Associates, Atlanta, Georgia, United States"
64,"Austin Heart Institute, Austin, Texas, United States"
65,"Austin Heart P.A., Austin, Texas, United States"
66,"Avicenna Research Institute, Tehran, Iran, Islamic Republic of"
67,"Azidus Brasil Pesquisa Científica e Desenvolvimento Ltda., Valinhos, São Paulo, Brazil"
68,"Azienda Ospedaliera Cannizzaro, Catania, Italy"
69,"Azienda Ospedaliera San Camillo-Forlanini, Rome, Italy"
70,"Azienda Ospedaliera di Padova, Padova, Italy"
71,"Azienda Ospedaliero-Universitaria Careggi, Firenze, Italy"
72,"Azienda Ospedaliero-Universitaria di Bologna Policlinico Sant'Orsola Malpighi, Bologna, Italy"
73,"BMT department, Moscow, Russian Federation"
74,"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh"
75,"Bangladesh Laser And Cell Surgery Institute And Hospital, Dhaka, Bangladesh"
76,"Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States"
77,"Barcelona, Barcelona, Spain"
78,"Barts & London School of Medicine, London, England, United Kingdom"
79,"Baruch Padeh Medical Center, Poriya, Tiberias, Israel"
80,"Barzilai Medical Center - Cardiology Unit, Ashkelon, Israel"
81,"Baylor University Medical Center, Dallas, Texas, United States"
82,"Baylor University, Dallas, Texas, United States"
83,"Baystate Medical Center, Springfield, Massachusetts, United States"
84,"Beijing 302 Hospital, Beijing, Beijing, China"
85,"Beijing 302 Hospital, Beijing, China"
86,"Beijing Tiantan Hospital, Capital Medical University, Beijing, China"
87,"Beldio Research GmbH, Memmingen, Germany"
88,"Belfast Health and Social Care Trust - Belfast City Hospital, Belfast, United Kingdom"
89,"Belfast Health and Social Care Trust, Royal Hospitals, Belfast, Northern Ireland, United Kingdom"
90,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States"
91,"Bethesda Hospital, Yangsan, Korea, Republic of"
92,"Bhagawan Mahaveer Jain Heart Centre, Bangalore, Karnataka, India"
93,"Bhayangkara Hospital, Makassar, South Celebes, Indonesia"
94,"Biegański Hospital, Łódź, Poland"
95,"Big Sky Clinical Research, Butte, Montana, United States"
96,"BioSolutions Clinical Research Center, La Mesa, California, United States"
97,"BioXcellerator, Medellin, Antioquia-CO, Colombia"
98,"Bionand, Parque Tecnológico de Andalucía, Universidad de Málaga, Malaga, Spain"
99,"Biosolutions Clinical Research Center, La Mesa, California, United States"
100,"Bluetail Medical Group, Chesterfield, Missouri, United States"
101,"Bnai Zion Medical Center, Haifa, Israel"
102,"Bombay Hospital & Medical Research Center, Mumbai, Maharashtra, India"
103,"Borland-Groover Clinic, Jacksonville, Florida, United States"
104,"Boston Children's Hospital, Boston, Massachusetts, United States"
105,"Brain Matters Research, Delray Beach, Florida, United States"
106,"Brigham and Women's Hospital, Boston, Massachusetts, United States"
107,"Brigham and Womens Hospital, Boston, Massachusetts, United States"
108,"Bristol Royal Hospital for Children, Bristol, UK, United Kingdom"
109,"British Columbia's Children's Hospital, Vancouver, British Columbia, Canada"
110,"Bundang CHA Medical Center, Seongnam, Kyunggido, Korea, Republic of"
111,"Burn Centre, Linköping University Hospital, Linköping, Sweden"
112,"CABIMER (Andalusian Center for Molecular Biology and Regenerative Medicine), Seville, Spain"
113,"CECIP JAU - Centro de Estudos Clínicos do Interior Paulista Ltda., Jaú, SP, Brazil"
114,"CEMEC - Centro Multidisciplinar de Estudos Clínicos Ltda. - EPP, São Bernardo Do Campo, SP, Brazil"
115,"CHA Bundang Medical Center, Seongnam-si, Gyeonggi-do, Korea, Republic of"
116,"CHA University, CHA Bundang Medical Center, Seongnam-si, Gyeonggi-do, Korea, Republic of"
117,"CHOC Children's Hospital of Orange County, Orange, California, United States"
118,"CHRU Lille- Hopital Claude Huriez, Lille, France"
119,"CHRU de Lille, Lille, France"
120,"CHU Clermont-Ferrand, Clermont-Ferrand, France"
121,"CHU Mont-Godinne, Yvoir, Belgium"
122,"CHU Nantes, Centre de Soins Dentaires, Nantes, France"
