,year,enroll
0,2013,0.0
1,2020,0.0
2,2019,0.0
3,2016,0.0
4,2010,0.0
5,2021,0.0
6,2015,0.0
7,2016,0.0
8,2012,0.0
9,2020,0.0
10,2021,0.0
11,2021,0.0
12,2014,0.0
13,2014,0.0
14,2019,0.0
15,2012,0.0
16,2014,0.0
17,2017,0.0
18,2017,0.0
19,2025,0.0
20,2022,0.0
21,2011,0.0
22,2015,0.0
23,2021,0.0
24,2015,0.0
25,2015,0.0
26,2022,0.0
27,2020,0.0
28,2019,0.0
29,2015,0.0
30,2009,0.0
31,2011,0.0
32,2021,0.0
33,2013,0.0
34,2019,0.0
35,2016,0.0
36,2004,0.0
37,2014,0.0
38,2020,0.0
39,2018,0.0
40,2008,0.0
41,2017,0.0
42,2022,0.0
43,2014,0.0
44,2008,0.0
45,2021,0.0
46,2019,0.0
47,2020,0.0
48,2015,0.0
49,2020,0.0
50,2017,1.0
51,2014,1.0
52,2015,1.0
53,2013,1.0
54,2011,1.0
55,2022,1.0
56,2017,1.0
57,2012,1.0
58,2015,1.0
59,2016,1.0
60,2015,1.0
61,2007,1.0
62,2010,1.0
63,2020,1.0
64,2018,1.0
65,2015,1.0
66,2018,2.0
67,2017,2.0
68,2014,2.0
69,2018,2.0
70,2014,2.0
71,2014,2.0
72,2016,2.0
73,2014,3.0
74,2010,3.0
75,2017,3.0
76,2011,3.0
77,2014,3.0
78,2012,3.0
79,2019,3.0
80,2012,3.0
81,2011,3.0
82,2015,3.0
83,2020,3.0
84,2015,4.0
85,2019,4.0
86,2016,4.0
87,2019,4.0
88,2013,4.0
89,2012,4.0
90,2016,4.0
91,2021,4.0
92,2013,4.0
93,2008,4.0
94,2019,4.0
95,2018,4.0
96,2016,4.0
97,2019,5.0
98,2013,5.0
99,2008,5.0
100,2018,5.0
101,2010,5.0
102,2012,5.0
103,2015,5.0
104,2016,5.0
105,2019,5.0
106,2015,5.0
107,2015,5.0
108,2019,5.0
109,2015,5.0
110,2016,5.0
111,2014,5.0
112,2017,5.0
113,2019,5.0
114,2018,5.0
115,2020,5.0
116,2015,5.0
117,2018,5.0
118,2015,5.0
119,2016,5.0
120,2017,5.0
121,2009,5.0
122,2015,5.0
123,2017,5.0
124,2010,5.0
125,2016,5.0
126,2013,5.0
127,2022,5.0
128,2012,5.0
129,2020,5.0
130,2022,6.0
131,2018,6.0
132,2012,6.0
133,2015,6.0
134,2023,6.0
135,2009,6.0
136,2014,6.0
137,2014,6.0
138,2010,6.0
139,2018,6.0
140,2010,6.0
141,2013,6.0
142,2017,6.0
143,2017,6.0
144,2010,6.0
145,2009,6.0
146,2021,6.0
147,2013,6.0
148,2015,6.0
149,2009,6.0
150,2021,6.0
151,2009,6.0
152,2021,6.0
153,2018,6.0
154,2009,6.0
155,2014,6.0
156,2022,6.0
157,2009,6.0
158,2019,6.0
159,2010,6.0
160,2013,6.0
161,2007,6.0
162,2013,6.0
163,2016,6.0
164,2013,7.0
165,2020,7.0
166,2012,7.0
167,2022,7.0
168,2017,7.0
169,2019,7.0
170,2017,7.0
171,2018,7.0
172,2016,7.0
173,2016,7.0
174,2012,7.0
175,2017,7.0
176,2020,7.0
177,2019,7.0
178,2017,7.0
179,2014,7.0
180,2013,8.0
181,1999,8.0
182,2013,8.0
183,2013,8.0
184,2020,8.0
185,2018,8.0
186,2014,8.0
187,2020,8.0
188,2016,8.0
189,2016,8.0
190,2009,8.0
191,2020,8.0
192,2010,8.0
193,2015,8.0
194,2019,8.0
195,2012,8.0
196,2010,8.0
197,2013,8.0
198,2013,9.0
199,2022,9.0
200,2011,9.0
201,2022,9.0
202,2020,9.0
203,2020,9.0
204,2017,9.0
205,2007,9.0
206,2015,9.0
207,2019,9.0
208,2011,9.0
209,2021,9.0
210,2014,9.0
211,2020,9.0
212,2020,9.0
213,2015,9.0
214,2010,9.0
215,2014,9.0
216,2020,9.0
217,2018,9.0
218,2022,9.0
219,2017,9.0
220,1995,9.0
221,2016,9.0
222,2022,9.0
223,2013,9.0
224,2013,9.0
225,2015,9.0
226,2018,9.0
227,2013,9.0
228,2012,9.0
229,2018,9.0
230,2018,9.0
231,2017,9.0
232,2011,9.0
233,2015,9.0
234,2021,9.0
235,2018,9.0
236,2018,9.0
237,2022,9.0
238,2020,9.0
239,2010,9.0
240,2021,9.0
241,2018,10.0
242,2021,10.0
243,2014,10.0
244,2006,10.0
245,2015,10.0
246,2019,10.0
247,2010,10.0
248,2016,10.0
249,2015,10.0
250,2017,10.0
251,2017,10.0
252,2020,10.0
253,2021,10.0
254,2016,10.0
255,2023,10.0
256,2019,10.0
257,2008,10.0
258,2008,10.0
259,2019,10.0
260,2020,10.0
261,2014,10.0
262,2013,10.0
263,2019,10.0
264,2016,10.0
265,2017,10.0
266,2014,10.0
267,2014,10.0
268,2020,10.0
269,2020,10.0
270,2009,10.0
271,2019,10.0
272,2020,10.0
273,2020,10.0
274,2015,10.0
275,2016,10.0
276,2019,10.0
277,2010,10.0
278,2012,10.0
279,2020,10.0
280,2017,10.0
281,2016,10.0
282,2015,10.0
283,2021,10.0
284,2018,10.0
285,2018,10.0
286,2017,10.0
287,2018,10.0
288,2019,10.0
289,2019,10.0
290,2022,10.0
291,2018,10.0
292,2021,10.0
293,2009,10.0
294,2020,10.0
295,2010,10.0
296,2016,10.0
297,2013,10.0
298,2015,10.0
299,2012,10.0
300,2021,10.0
301,2014,10.0
302,2013,10.0
303,2021,10.0
304,2022,10.0
305,2017,10.0
306,2022,10.0
307,2015,10.0
308,2018,10.0
309,2012,10.0
310,2022,10.0
311,2022,10.0
312,2004,10.0
313,2020,10.0
314,2013,10.0
315,2015,10.0
316,2022,10.0
317,2014,10.0
318,2015,10.0
319,2013,10.0
320,2020,10.0
321,2010,10.0
322,2015,10.0
323,2010,10.0
324,2014,10.0
325,2013,10.0
326,2014,10.0
327,2022,10.0
328,2019,10.0
329,2015,10.0
330,2010,10.0
331,2022,10.0
332,2014,10.0
333,2015,10.0
334,2017,10.0
335,2020,10.0
336,2015,10.0
337,2018,10.0
338,2010,10.0
339,2018,10.0
340,2020,10.0
341,2013,10.0
342,2020,10.0
343,2020,10.0
344,2014,10.0
345,2010,10.0
346,2017,10.0
347,2019,10.0
348,2013,10.0
349,2019,10.0
350,2015,10.0
351,2011,10.0
352,2011,10.0
353,2015,10.0
354,2011,10.0
355,2018,10.0
356,2017,10.0
357,2009,10.0
358,2015,10.0
359,2014,10.0
360,2012,11.0
361,2017,11.0
362,2005,11.0
363,2011,11.0
364,2015,11.0
365,2012,11.0
366,2017,11.0
367,2018,11.0
368,2019,11.0
369,2019,12.0
370,2022,12.0
371,2017,12.0
372,2022,12.0
373,2017,12.0
374,2022,12.0
375,2013,12.0
376,2017,12.0
377,2019,12.0
378,2013,12.0
379,2022,12.0
380,2011,12.0
381,2015,12.0
382,2016,12.0
383,2015,12.0
384,2015,12.0
385,2022,12.0
386,2022,12.0
387,2016,12.0
388,2014,12.0
389,2022,12.0
390,2015,12.0
391,2018,12.0
392,2021,12.0
393,2015,12.0
394,2019,12.0
395,2012,12.0
396,2014,12.0
397,2015,12.0
398,2018,12.0
399,2022,12.0
400,2010,12.0
401,2019,12.0
402,2021,12.0
403,2016,12.0
404,2019,12.0
405,2023,12.0
406,2013,12.0
407,2022,12.0
408,2018,12.0
409,2022,12.0
410,2017,12.0
411,2021,12.0
412,2020,12.0
413,2021,12.0
414,2020,12.0
415,2009,12.0
416,2013,13.0
417,2012,13.0
418,2014,13.0
419,2018,13.0
420,2014,13.0
421,2016,13.0
422,2020,14.0
423,2012,14.0
424,2010,14.0
425,2020,14.0
426,2012,14.0
427,2016,14.0
428,2018,14.0
429,2018,14.0
430,2014,14.0
431,2020,14.0
432,2023,14.0
433,2012,14.0
434,2018,14.0
435,2010,15.0
436,2013,15.0
437,2010,15.0
438,2018,15.0
439,2022,15.0
440,2008,15.0
441,2012,15.0
442,2018,15.0
443,2022,15.0
444,2022,15.0
445,2021,15.0
446,2020,15.0
447,2007,15.0
448,2018,15.0
449,2011,15.0
450,2016,15.0
451,2022,15.0
452,2013,15.0
453,2016,15.0
454,2020,15.0
455,2010,15.0
456,2014,15.0
457,2022,15.0
458,2019,15.0
459,2009,15.0
460,2009,15.0
461,2019,15.0
462,2017,15.0
463,2012,15.0
464,2016,15.0
465,2020,15.0
466,2007,15.0
467,2012,15.0
468,2022,15.0
469,2020,15.0
470,2019,15.0
471,2010,15.0
472,2021,15.0
473,2022,15.0
474,2020,15.0
475,2020,15.0
476,2020,15.0
477,2013,15.0
478,2014,15.0
479,2012,15.0
480,2022,15.0
481,2013,15.0
482,2022,15.0
483,2011,15.0
484,2009,15.0
485,2022,15.0
486,2023,16.0
487,2017,16.0
488,2019,16.0
489,2016,16.0
490,2021,16.0
491,2022,16.0
492,2013,16.0
493,2017,16.0
494,2012,16.0
495,2021,16.0
496,2015,16.0
497,2021,16.0
498,2014,16.0
499,2020,16.0
500,2017,16.0
501,2014,16.0
502,2018,16.0
503,2021,16.0
504,2012,16.0
505,2021,16.0
506,2017,16.0
507,2019,16.0
508,2013,17.0
509,2013,17.0
510,2020,17.0
511,2018,17.0
512,2022,17.0
513,2022,18.0
514,2015,18.0
515,2019,18.0
516,2022,18.0
517,2018,18.0
518,2021,18.0
519,2021,18.0
520,2009,18.0
521,2019,18.0
522,2019,18.0
523,2012,18.0
524,2018,18.0
525,2021,18.0
526,2008,18.0
527,2018,18.0
528,2022,18.0
529,2022,18.0
530,2014,18.0
531,2018,18.0
532,2022,18.0
533,2015,18.0
534,2013,18.0
535,2013,18.0
536,2021,18.0
537,2018,18.0
538,2021,18.0
539,2013,19.0
540,2014,19.0
541,2014,19.0
542,2015,19.0
543,2014,19.0
544,2014,19.0
545,2017,19.0
546,2010,19.0
547,2021,20.0
548,2009,20.0
549,2011,20.0
550,2011,20.0
551,2022,20.0
552,2021,20.0
553,2018,20.0
554,2015,20.0
555,2022,20.0
556,2017,20.0
557,2022,20.0
558,2016,20.0
559,2021,20.0
560,2015,20.0
561,2021,20.0
562,2022,20.0
563,2020,20.0
564,2018,20.0
565,2013,20.0
566,2013,20.0
567,2011,20.0
568,2020,20.0
569,2020,20.0
570,2011,20.0
571,2016,20.0
572,2017,20.0
573,2021,20.0
574,2017,20.0
575,2015,20.0
576,2021,20.0
577,2017,20.0
578,2022,20.0
579,2022,20.0
580,2022,20.0
581,2013,20.0
582,2014,20.0
583,2022,20.0
584,2016,20.0
585,2015,20.0
586,2013,20.0
587,2019,20.0
588,2014,20.0
589,2020,20.0
590,2014,20.0
591,2020,20.0
592,2010,20.0
593,2009,20.0
594,2022,20.0
595,2014,20.0
596,2007,20.0
597,2020,20.0
598,2022,20.0
599,2020,20.0
600,2020,20.0
601,2017,20.0
602,2021,20.0
603,2019,20.0
604,2020,20.0
605,2019,20.0
606,2020,20.0
607,2015,20.0
608,2014,20.0
609,2022,20.0
610,2017,20.0
611,2016,20.0
612,2022,20.0
613,2016,20.0
614,2009,20.0
615,2021,20.0
616,2020,20.0
617,2020,20.0
618,2022,20.0
619,2017,20.0
620,2019,20.0
621,2021,20.0
622,2014,20.0
623,2019,20.0
624,2017,20.0
625,2010,20.0
626,2016,20.0
627,2010,20.0
628,2014,20.0
629,2022,20.0
630,2022,20.0
631,2017,20.0
632,2013,20.0
633,2021,20.0
634,2020,20.0
635,2009,20.0
636,2012,20.0
637,2022,20.0
638,2022,20.0
639,2016,20.0
640,2022,20.0
641,2017,20.0
642,2012,20.0
643,2022,20.0
644,2022,20.0
645,2021,20.0
646,2010,20.0
647,2013,20.0
648,2018,20.0
649,2022,20.0
650,2022,20.0
651,2014,20.0
652,2010,20.0
653,2022,20.0
654,2013,20.0
655,2020,20.0
656,2015,20.0
657,2011,20.0
658,2015,20.0
659,2021,20.0
660,2022,20.0
661,2015,20.0
662,2022,20.0
663,2019,20.0
664,2022,20.0
665,2010,20.0
666,2014,20.0
667,2012,20.0
668,2015,20.0
669,2014,20.0
670,2021,20.0
671,2010,20.0
672,2011,20.0
673,2012,20.0
674,2018,20.0
675,2021,20.0
676,2018,20.0
677,2009,20.0
678,2009,20.0
679,2011,20.0
680,2020,20.0
681,2022,20.0
682,2008,20.0
683,2018,20.0
684,2008,20.0
685,2020,20.0
686,2018,21.0
687,2020,21.0
688,2017,21.0
689,2014,21.0
690,2014,21.0
691,2021,21.0
692,2010,21.0
693,2010,21.0
694,2013,21.0
695,1999,21.0
696,2023,21.0
697,2011,22.0
698,2015,22.0
699,2017,22.0
700,2015,22.0
701,2015,22.0
702,2020,22.0
703,2021,22.0
704,2011,22.0
705,2020,23.0
706,2015,23.0
707,2014,23.0
708,2017,23.0
709,2015,23.0
710,2016,24.0
711,2019,24.0
712,2013,24.0
713,2010,24.0
714,2018,24.0
715,2020,24.0
716,2020,24.0
717,2009,24.0
718,2022,24.0
719,2016,24.0
720,2020,24.0
721,2019,24.0
722,2020,24.0
723,2020,24.0
724,2020,24.0
725,2012,24.0
726,2017,24.0
727,2006,24.0
728,2020,24.0
729,2019,24.0
730,2020,24.0
731,2013,24.0
732,2020,24.0
733,2019,24.0
734,2014,24.0
735,2021,24.0
736,2020,24.0
737,2019,24.0
738,2013,24.0
739,2021,24.0
740,2011,24.0
741,2020,24.0
742,2016,24.0
743,2017,24.0
744,2019,24.0
745,2010,24.0
746,2021,24.0
747,2015,24.0
748,2021,24.0
749,2015,24.0
750,2013,25.0
751,2019,25.0
752,2008,25.0
753,2021,25.0
754,2016,25.0
755,2017,25.0
756,2017,25.0
757,2011,25.0
758,2007,25.0
759,2012,25.0
760,2018,25.0
761,2006,25.0
762,2008,25.0
763,2018,25.0
764,2012,25.0
765,2015,25.0
766,2012,26.0
767,2014,26.0
768,2018,26.0
769,2014,26.0
770,2013,26.0
771,2019,26.0
772,2016,26.0
773,2020,26.0
774,2021,26.0
775,2015,27.0
776,2012,27.0
777,2008,27.0
778,2020,27.0
779,2017,27.0
780,2012,27.0
781,2015,27.0
782,2008,27.0
783,2018,27.0
784,2016,28.0
785,2019,28.0
786,2016,28.0
787,2018,28.0
788,2012,28.0
789,2016,28.0
790,2021,28.0
791,2014,28.0
792,2015,29.0
793,2015,30.0
794,2017,30.0
795,2020,30.0
796,2022,30.0
797,2022,30.0
798,2009,30.0
799,2015,30.0
800,2022,30.0
801,2020,30.0
802,2020,30.0
803,2006,30.0
804,2017,30.0
805,2013,30.0
806,2020,30.0
807,2019,30.0
808,2012,30.0
809,2012,30.0
810,2019,30.0
811,2014,30.0
812,2020,30.0
813,2012,30.0
814,2010,30.0
815,2016,30.0
816,2014,30.0
817,2017,30.0
818,2012,30.0
819,2011,30.0
820,2021,30.0
821,2022,30.0
822,2015,30.0
823,2010,30.0
824,2019,30.0
825,2021,30.0
826,2018,30.0
827,2014,30.0
828,2017,30.0
829,2015,30.0
830,2018,30.0
831,2013,30.0
832,2020,30.0
833,2019,30.0
834,2017,30.0
835,2022,30.0
836,2017,30.0
837,2018,30.0
838,2016,30.0
839,2015,30.0
840,2012,30.0
841,2015,30.0
842,2022,30.0
843,2021,30.0
844,2021,30.0
