,year,enroll
0,2020,5000
1,2014,566
2,2019,480
3,2022,400
4,2007,330
5,2022,300
6,2020,300
7,2009,266
8,2006,260
9,2019,242
10,2022,240
11,2021,240
12,2021,240
13,2009,220
14,2019,200
15,2021,200
16,2021,200
17,2008,192
18,2022,182
19,2019,180
20,2018,164
21,2011,160
22,2022,158
23,2017,150
24,2021,136
25,2021,130
26,2019,129
27,2020,120
28,2021,120
29,2019,120
30,2018,115
31,2020,108
32,2013,106
33,2017,105
34,2009,104
35,2013,103
36,2012,103
37,2018,102
38,2020,102
39,2020,100
40,2021,100
41,2007,98
42,2018,91
43,2021,90
44,2022,90
45,2012,90
46,2018,84
47,2012,82
48,2017,82
49,2016,80
50,2022,80
51,2021,78
52,2022,76
53,2020,75
54,2022,74
55,2010,73
56,2011,72
57,2020,70
58,2021,70
59,2019,70
60,2019,66
61,2014,65
62,2020,64
63,2008,63
64,2008,62
65,2016,62
66,2020,60
67,2017,60
68,2023,60
69,2022,60
70,2021,60
71,2011,60
72,2008,60
73,2017,60
74,2014,60
75,2021,60
76,2021,60
77,2015,59
78,2019,56
79,2021,55
80,2015,55
81,2022,54
82,2020,50
83,2018,50
84,2022,50
85,2015,50
86,2018,50
87,2014,50
88,2021,48
89,2013,48
90,2020,47
91,2014,46
92,2019,46
93,2022,45
94,2021,44
95,2021,44
96,2020,43
97,2021,42
98,2022,42
99,2022,41
100,2016,40
101,2013,40
102,2020,40
103,2021,40
104,2020,40
105,2022,40
106,2021,40
107,2012,40
108,2022,40
109,2020,40
110,2019,40
111,2023,39
112,2011,38
113,2009,37
114,2022,36
115,2022,36
116,2016,33
117,2015,32
118,2020,32
119,2014,32
120,2005,32
121,2010,32
122,2019,32
123,2010,31
124,2017,31
125,2014,30
126,2021,30
127,2021,30
128,2020,30
129,2020,30
130,2021,30
131,2022,30
132,2022,30
133,2021,30
134,2022,30
135,2020,30
136,2020,30
137,2012,30
138,2019,30
139,2014,30
140,2015,30
141,2019,30
142,2021,30
143,2016,30
144,2012,30
145,2018,30
146,2014,30
147,2021,30
148,2021,29
149,2018,28
150,2021,26
151,2014,26
152,2020,26
153,2013,25
154,2019,24
155,2014,24
156,2020,24
157,2020,24
158,2020,24
159,2020,24
160,2020,24
161,2017,24
162,2020,24
163,2017,23
164,2015,23
165,2014,23
166,2021,22
167,2015,22
168,2015,22
169,2010,21
170,2014,21
171,2020,20
172,2017,20
173,2022,20
174,2014,20
175,2022,20
176,2022,20
177,2022,20
178,2022,20
179,2020,20
180,2022,20
181,2022,20
182,2014,20
183,2022,20
184,2021,20
185,2019,20
186,2021,20
187,2012,20
188,2017,20
189,2022,20
190,2010,20
191,2022,20
192,2018,20
193,2022,20
194,2022,20
195,2022,20
196,2014,20
197,2014,20
198,2020,20
199,2022,20
200,2022,20
201,2022,20
202,2022,20
203,2009,20
204,2020,20
205,2022,20
206,2021,20
207,2013,20
208,2022,20
209,2022,20
210,2022,20
211,2022,20
212,2021,20
213,2017,20
214,2022,20
215,2014,19
216,2010,19
217,2021,18
218,2018,18
219,2022,18
220,2022,18
221,2021,18
222,2022,18
223,2018,18
224,2021,18
225,2015,18
226,2018,18
227,2021,18
228,2017,16
229,2014,16
230,2016,16
231,2021,16
232,2021,16
233,2019,16
234,2017,16
235,2019,16
236,2021,16
237,2017,16
238,2021,15
239,2020,15
240,2019,15
241,2020,15
242,2013,15
243,2010,15
244,2014,15
245,2022,15
246,2020,15
247,2009,15
248,2019,15
249,2022,15
250,2022,15
251,2022,15
252,2022,15
253,2022,15
254,2016,14
255,2020,14
256,2018,12
257,2020,12
258,2019,12
259,2013,12
260,2022,12
261,2013,12
262,2019,12
263,2020,12
264,2009,12
265,2015,12
266,2012,11
267,2005,11
268,2022,10
269,2019,10
270,2015,10
271,2016,10
272,2011,10
273,2014,10
274,2020,10
275,2021,10
276,2018,10
277,2018,10
278,2021,10
279,2022,10
280,2018,10
281,2021,10
282,2018,10
283,2019,10
284,2019,10
285,2015,10
286,2021,10
287,2019,10
288,2006,10
289,2022,10
290,2019,10
291,2008,10
292,2013,9
293,2015,9
294,2020,9
295,2015,9
296,2021,9
297,2022,9
298,1995,9
299,2022,9
300,2018,9
301,2020,9
302,2022,9
303,2019,9
304,2021,9
305,2020,9
306,2010,9
307,2011,9
308,2010,8
309,1999,8
310,2013,8
311,2020,7
312,2019,7
313,2017,7
314,2017,7
315,2022,7
316,2019,7
317,2012,7
318,2022,6
319,2019,6
320,2021,6
321,2015,6
322,2022,6
323,2019,5
324,2015,5
325,2021,5
326,2016,5
327,2015,5
328,2014,5
329,2013,5
330,2019,5
331,2016,4
332,2007,1
333,2015,1
334,2014,1
