,year,enroll
0,2017,0.0
1,2020,0.0
2,2004,0.0
3,2011,0.0
4,2021,0.0
5,2016,0.0
6,2015,0.0
7,2025,0.0
8,2012,0.0
9,2012,0.0
10,2019,0.0
11,2019,0.0
12,2017,0.0
13,2015,0.0
14,2017,1.0
15,2018,1.0
16,2013,1.0
17,2010,1.0
18,2011,1.0
19,2014,2.0
20,2017,2.0
21,2014,2.0
22,2014,3.0
23,2012,3.0
24,2010,3.0
25,2015,3.0
26,2013,4.0
27,2012,4.0
28,2021,4.0
29,2016,4.0
30,2019,4.0
31,2013,4.0
32,2015,4.0
33,2018,4.0
34,2010,5.0
35,2017,5.0
36,2015,5.0
37,2019,5.0
38,2016,5.0
39,2008,5.0
40,2009,5.0
41,2018,5.0
42,2021,6.0
43,2009,6.0
44,2009,6.0
45,2012,6.0
46,2018,6.0
47,2015,6.0
48,2010,6.0
49,2013,6.0
50,2009,6.0
51,2013,6.0
52,2014,6.0
53,2009,6.0
54,2010,6.0
55,2014,7.0
56,2012,7.0
57,2017,7.0
58,2016,7.0
59,2020,8.0
60,2016,8.0
61,2013,8.0
62,2019,8.0
63,2012,8.0
64,2015,8.0
65,2009,8.0
66,2015,9.0
67,2013,9.0
68,2018,9.0
69,2010,9.0
70,2012,9.0
71,2022,9.0
72,2013,9.0
73,2007,9.0
74,2014,10.0
75,2011,10.0
76,2022,10.0
77,2012,10.0
78,2019,10.0
79,2017,10.0
80,2012,10.0
81,2013,10.0
82,2013,10.0
83,2010,10.0
84,2017,10.0
85,2018,10.0
86,2017,10.0
87,2015,10.0
88,2019,10.0
89,2008,10.0
90,2020,10.0
91,2010,10.0
92,2014,10.0
93,2019,10.0
94,2016,10.0
95,2014,10.0
96,2017,10.0
97,2018,10.0
98,2015,10.0
99,2010,10.0
100,2020,10.0
101,2020,10.0
102,2015,10.0
103,2020,10.0
104,2015,10.0
105,2014,10.0
106,2015,10.0
107,2010,10.0
108,2018,10.0
109,2015,10.0
110,2013,10.0
111,2015,10.0
112,2011,11.0
113,2019,11.0
114,2016,12.0
115,2017,12.0
116,2015,12.0
117,2017,12.0
118,2014,12.0
119,2022,12.0
120,2012,12.0
121,2010,12.0
122,2011,12.0
123,2015,12.0
124,2015,12.0
125,2017,12.0
126,2013,12.0
127,2009,12.0
128,2012,13.0
129,2014,13.0
130,2018,13.0
131,2014,13.0
132,2016,13.0
133,2010,14.0
134,2012,14.0
135,2014,14.0
136,2016,14.0
137,2010,15.0
138,2012,15.0
139,2009,15.0
140,2013,15.0
141,2010,15.0
142,2016,15.0
143,2022,15.0
144,2012,15.0
145,2013,15.0
146,2016,15.0
147,2013,15.0
148,2011,15.0
149,2021,15.0
150,2020,15.0
151,2018,15.0
152,2010,15.0
153,2007,15.0
154,2021,15.0
155,2012,16.0
156,2013,16.0
157,2012,16.0
158,2018,16.0
159,2013,17.0
160,2012,18.0
161,2015,18.0
162,2008,18.0
163,2013,18.0
164,2009,18.0
165,2021,18.0
