,year,enroll
0,2010,0.0
1,2014,0.0
2,2019,0.0
3,2022,0.0
4,2015,0.0
5,2009,0.0
6,2008,0.0
7,2019,0.0
8,2015,0.0
9,2015,1.0
10,2015,1.0
11,2018,2.0
12,2014,2.0
13,2014,3.0
14,2011,3.0
15,2019,3.0
16,2011,3.0
17,2016,4.0
18,2008,4.0
19,2012,5.0
20,2016,5.0
21,2010,5.0
22,2016,5.0
23,2013,5.0
24,2014,6.0
25,2014,6.0
26,2010,6.0
27,2010,6.0
28,2017,6.0
29,2021,6.0
30,2013,6.0
31,2009,6.0
32,2018,7.0
33,2013,8.0
34,2020,8.0
35,2020,9.0
36,2020,9.0
37,2017,9.0
38,2018,9.0
39,2018,9.0
40,2021,10.0
41,2017,10.0
42,2008,10.0
43,2013,10.0
44,2014,10.0
45,2020,10.0
46,2009,10.0
47,2020,10.0
48,2018,10.0
49,2018,10.0
50,2010,10.0
51,2022,10.0
52,2022,10.0
53,2004,10.0
54,2015,10.0
55,2014,10.0
56,2010,10.0
57,2010,10.0
58,2020,10.0
59,2019,10.0
60,2013,10.0
61,2017,10.0
62,2009,10.0
63,2012,11.0
64,2017,11.0
65,2019,12.0
66,2022,12.0
67,2014,12.0
68,2021,12.0
69,2021,12.0
70,2012,14.0
71,2018,14.0
72,2008,15.0
73,2018,15.0
74,2020,15.0
75,2014,15.0
76,2022,15.0
77,2012,15.0
78,2015,16.0
79,2021,16.0
80,2018,17.0
81,2022,17.0
82,2022,18.0
83,2019,18.0
84,2019,18.0
85,2014,18.0
86,2013,18.0
87,2013,19.0
88,2014,19.0
89,2014,19.0
90,2020,20.0
91,2020,20.0
92,2016,20.0
93,2015,20.0
94,2020,20.0
95,2020,20.0
96,2017,20.0
97,2019,20.0
98,2020,20.0
99,2022,20.0
100,2017,20.0
101,2020,20.0
102,2016,20.0
103,2021,20.0
104,2010,20.0
105,2018,21.0
106,2020,21.0
107,2010,21.0
108,2015,22.0
109,2010,24.0
110,2020,24.0
111,2013,24.0
112,2019,24.0
113,2021,24.0
114,2019,24.0
115,2015,24.0
116,2021,25.0
117,2017,27.0
118,2019,28.0
119,2021,28.0
120,2022,30.0
121,2009,30.0
122,2020,30.0
123,2019,30.0
124,2017,30.0
125,2018,30.0
126,2019,30.0
127,2017,30.0
128,2016,30.0
129,2015,30.0
130,2020,30.0
131,2020,30.0
132,2018,30.0
133,2016,30.0
134,2016,30.0
135,2012,30.0
136,2018,30.0
137,2011,33.0
138,2019,34.0
139,2000,34.0
140,2015,35.0
141,2008,35.0
142,2015,35.0
143,2020,35.0
144,2018,35.0
145,2017,35.0
146,2007,36.0
147,2022,36.0
148,2018,39.0
149,2013,40.0
150,2021,40.0
151,2012,40.0
152,2017,40.0
153,2016,40.0
154,2012,40.0
155,2018,40.0
156,2015,40.0
157,2019,40.0
158,2016,40.0
159,2014,42.0
160,2017,44.0
161,2020,44.0
162,2018,45.0
163,2020,45.0
164,2019,45.0
165,2019,46.0
166,2020,48.0
167,2004,49.0
168,2020,50.0
169,2013,50.0
170,2011,50.0
171,2007,50.0
172,2012,50.0
173,2020,50.0
174,2020,50.0
175,2012,50.0
176,2017,51.0
177,2008,55.0
178,2023,55.0
179,2014,57.0
180,2016,58.0
181,2022,60.0
182,2022,60.0
183,2018,60.0
184,2021,60.0
185,2022,60.0
186,2010,60.0
187,2016,60.0
188,2005,60.0
189,2020,60.0
190,2013,60.0
191,2009,60.0
192,2011,60.0
193,2021,60.0
194,2019,60.0
195,2021,66.0
196,2019,66.0
197,2014,75.0
198,2018,80.0
199,2021,90.0
200,2016,90.0
201,2015,90.0
202,2020,90.0
203,2016,93.0
204,2014,94.0
205,2007,98.0
206,2013,100.0
207,2020,100.0
208,2013,100.0
209,2015,100.0
210,2017,100.0
211,2017,100.0
212,2022,100.0
213,2016,100.0
214,2021,107.0
215,2016,116.0
216,2016,120.0
217,2012,120.0
218,2014,130.0
219,2017,140.0
220,2017,150.0
221,2021,152.0
222,2021,200.0
223,2017,200.0
224,2018,200.0
225,2020,200.0
226,2017,200.0
227,2021,240.0
228,2016,250.0
229,2016,260.0
230,2019,300.0
231,2019,300.0
232,2020,600.0
