,Brief Title,count,enrolled
0,MEsenchymal StEm Cells for Multiple Sclerosis,2,21
1,A Study of Allogeneic Human UC-MSC and Liberation Therapy (When Associated With CCSVI) in Patients With RRMS,2,138
2,"Study of Allogeneic Adipose-Derived Mesenchymal Stem Cells to Treat Post COVID-19 ""Long Haul"" Pulmonary Compromise",2,60
3,Treatment of Laryngotracheal Stenosis Using Mesenchymal Stem Cells,2,32
4,A Study of Allogeneic Mesenchymal Bone Marrow Cells in Subjects With ST Segment Elevation Myocardial Infarction (STEMI),1,0
5,Umbilical Cord Mesenchymal Stem Cells Transplantation in the Treatment of Chronic Obstructive Pulmonary Disease,1,40
6,Tissue and Hematopoietic/Mesenchymal Stem Cell for Humanized Xenograft Studies in Melanoma and Squamous Head and Neck Cancer,1,40
7,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Ischemic Stroke,1,40
8,Mesenchymal Stem Cells (MSCs) in Inflammation-Resolution Programs of Coronavirus Disease 2019 (COVID-19) Induced Acute Respiratory Distress Syndrome (ARDS),1,40
9,UC-MSC Transplantation for Left Ventricular Dysfunction After AMI,1,40
10,Stem Cell Therapy for Chronic Kidney Disease,1,40
11,Research for Human Umbilical Cord Mesenchymal Stem Cells (19#iSCLife®-MDS) in the Treatment of Myelodysplastic Syndrome (MDS),1,40
12,Bio ACL Reconstruction Amnion Collagen Matrix Wrap and Stem Cells,1,40
13,Clinical Application of Mesenchymal Stem Cells Seeded in Chitosan Scaffold for Diabetic Foot Ulcers,1,40
14,MSC and Cyclophosphamide for Acute Graft-Versus-Host Disease (aGVHD) Prophylaxis,1,40
15,Allogeneic Human Mesenchymal Stem Cells for Alzheimer's Disease,1,40
16,Autologous Adipose Derived Mesenchymal Stem Cells for Spinal Cord Injury Patients,1,40
17,Safety and Exploratory Efficacy Study of UCMSCs in Patients With Fracture and Bone Nonunion,1,40
18,Stem Cell Therapy Combined Hormone Replacement Therapy in Patients With Premature Ovarian Failure,1,40
19,Extracorporeal Shockwave Therapy for Knee Osteoarthritis,1,40
20,Human Umbilical-Cord-Derived Mesenchymal Stem Cell Therapy in Paraquat Poisoning Induced Lung Injury,1,40
21,The Safety and Efficacy of Human Umbilical Cord Mesenchymal Stem Cells (19#iSCLife®-ACI) in the Treatment of Acute Cerebral Infarction,1,40
22,Mesenchymal Stem Cell Therapy of Dry Eye Disease in Patients With Sjögren's Syndrome,1,40
23,Injectable Collagen Scaffold™ Combined With HUC-MSCs Transplantation for Patients With Decompensated Cirrhosis,1,40
24,Assessement the Reconstruction of Motor Circuits in Nerve Fiber Injuries After the Treatment of Umbilical Cord Mesenchymal Stem Cells With Blood Oxygen Level-dependent Drived Diffusion Tensor Imaging,1,40
25,"Role of Stem Cells, Platelet Rich Plasma in Treatment of Scars",1,40
26,Stem Cells and Secretomes for Infertility Therapy in Polycystic Ovary Syndrome (PCOS) Patients With Insulin Resistance.,1,40
27,Autologous Mesenchymal Stromal Cells and Islet Co-transplantation in TP-IAT,1,42
28,Evaluate the Safety and Efficacy of Allogeneic Umbilical Cord Mesenchymal Stem Cells in Patients With Multiple Sclerosis,1,41
29,Mesenchymal Stem Cells for the Treatment of COVID-19,1,40
30,Impact of Semaglutide on CD34+ EPC and Fat Derived MSC,1,40
31,Allogeneic Mesenchymal Stem Cell Transplantation in Tibial Closed Diaphyseal Fractures,1,40
32,Autologous Mesenchymal Stem Cells Transplantation in Thoracolumbar Chronic and Complete Spinal Cord Injury Spinal Cord Injury,1,40
33,Clinical Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Moderate and Severe Crohn's Disease,1,40
34,A Novel Surgical Method in the Treatment of Unstable Vitiligo,1,40
35,Mineralocorticoid Receptor Antagonist and Kidney Allograft Histology,1,40
36,Autologous Bone Marrow Stem Cells for Chronic Leg Ulcer Treatment in Sickle Cell Disease,1,40
37,Umbilical Cord Derived Mesenchymal Stem Cells Transplantation for Active and Refractory Systemic Lupus Erythematosus,1,40
38,Autologous Bone Marrow Concentrate in Knee Osteochondral Allograft Transplantation,1,40
39,Human Umbilical-Cord-Derived Mesenchymal Stem Cell Therapy in Ischemic Cardiomyopathy,1,40
40,Safety and Efficacy of Intravenous Wharton's Jelly Derived Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome Due to COVID 19,1,40
41,Mesenchymal Stem Cell Secretome In Severe Cases of COVID-19,1,40
42,Randomized Study of Coronary Revascularization Surgery With Injection of WJ-MSCs and Placement of an Epicardial Extracellular Matrix,1,40
43,Study of the 12-month Efficacy of Stem Cell Injection in Crohn's Disease With Complex Ano-perineal Fistula,1,40
44,UCMSCs as Front-line Approach of Treatment for Patients With aGVHD,1,40
45,Mesenchymal Stem Cells for the Treatment of Perianal Fistulizing Crohn's Disease,1,40
46,Comparison of Autologous Mesenchymal Stem Cells and Mononuclear Cells on Diabetic Critical Limb Ischemia and Foot Ulcer,1,40
47,Administration of Allogenic UC-MSCs as Adjuvant Therapy for Critically-Ill COVID-19 Patients,1,40
48,"Long Term Effects on Skin Hyper Pigmentation With and Without Mesenchymal Stem Cell Enriched Adipose Tissue Grafting for ""Contour Deformities With Pigmentary Changes on Face""",1,40
49,Therapeutic Potential of Stem Cell Conditioned Medium on Chronic Ulcer Wounds,1,38
50,Treatment of Osteoarthritis by Intra-articular Injection of Bone Marrow Mesenchymal Stem Cells With Platelet Rich Plasma,1,38
51,Safety and Efficacy of Stem Cell Therapy in Patients With Autism,1,37
52,PercutaneOus StEm Cell Injection Delivery Effects On Neomyogenesis in Dilated CardioMyopathy (The POSEIDON-DCM Study),1,37
53,INNOVATIVE TREATMENT OF SCARRED VOCAL FOLDS BY LOCAL INJECTION OF AUTOLOGOUS ADIPOSE-DERIVED STROMAL VASCULAR FRACTION: EFFICACY VERSUS PLACEBO,1,36
54,MSC-DNX-2401 in Treating Patients With Recurrent High-Grade Glioma,1,36
55,Mesenchymal Stromal Cells for Infants With Congenital Heart Disease (MedCaP),1,36
56,Encapsulated Mesenchymal Stem Cells for Dental Pulp Regeneration.,1,36
57,Treatment of Lupus Nephritis With Allogeneic Mesenchymal Stem Cells,1,36
58,Mesenchymal Stem Cells for Age-Related Frailty,1,36
59,Clinical Study to Evaluate Efficacy and Safety of ASC and Fibringlue or Fibringlue in Patients With Crohn's Fistula,1,36
60,Intraportal or Intramuscular Site for Islets in Simultaneous Islet and Kidney Transplantation,1,36
61,Study of Decompensated Alcoholic Cirrhosis Treatment by Stem Cells,1,36
62,Mesenchymal Stem Cell Transplantation in Decompensated Cirrhosis,1,36
63,Dose-response Evaluation of the Cellavita HD Product in Patients With Huntington's Disease,1,35
64,Autologous Stem Cell Therapy for Fracture Non-union Healing,1,35
65,IMPACT: Safety and Feasibility of a Single-stage Procedure for Focal Cartilage Lesions of the Knee.,1,35
66,Mesenchymal Stem Cells: Alterations in Genome,1,35
67,Clinical Extension Study for Safety and Efficacy Evaluation of Cellavita-HD Administration in Huntington's Patients.,1,35
68,Mobilization of Mesenchymal Stem Cells During Liver Transplantation,1,35
69,Evaluation of Lomecel-B™ Injection in Patients With Hypoplastic Left Heart Syndrome: A Phase IIb Clinical Trial.,1,38
70,A Study of Allogeneic Mesenchymal Bone Marrow Cells in Subjects With Ischemic Stroke,1,38
71,Efficacy and Safety of hUC-MSCs and hUCB-MSCs in the Treatment of Chronic Spinal Cord Injury,1,42
72,Clinical Research of UC-MSCs in the Treatment of Diabetic Nephropathy,1,38
73,Multi-intravenous Infusion of Umbilical Cord Mesenchymal Stem Cells in Heart Failure With Reduced Ejection Fraction（PRIME-HFrEF Study）,1,40
74,Immune Modulation by Exosomes in COVID-19,1,40
75,Study of Mesenchymal Stem Cells for the Treatment of Ileal Pouch Fistula's in Participants With Crohn's Disease,1,40
76,Mesenchymal Stem Cells for the Treatment of Rectovaginal Fistulas in Participants With Crohn's Disease,1,40
77,Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells for the Treatment of Severe Viral Pneumonian,1,40
78,A Phase II Study in Patients With Moderate to Severe ARDS Due to COVID-19,1,40
79,Human Umbilical Cord-Mesenchymal Stem Cells for Rheumatoid Arthritis,1,40
