,First Posted,count,enrolled
0,"November 29, 2021",11,270
1,"June 8, 2017",6,107
2,"December 2, 2021",6,81
3,"August 6, 2021",6,105
4,"February 25, 2017",6,290
5,"June 22, 2020",4,342
6,"June 6, 2017",4,170
7,"May 14, 2020",4,134
8,"August 17, 2020",4,220
9,"January 5, 2013",4,220
10,"September 3, 2020",4,113
11,"April 12, 2018",4,199
12,"September 20, 2017",4,136
13,"August 19, 2021",4,115
14,"November 30, 2015",3,121
15,"December 3, 2012",3,69
16,"August 17, 2021",3,44
17,"January 21, 2016",3,104
18,"December 2, 2013",3,39
19,"March 3, 2015",3,20
20,"August 26, 2022",3,60
21,"May 23, 2017",3,146
22,"October 12, 2010",3,140
23,"January 14, 2019",3,39
24,"June 10, 2010",3,49
25,"January 7, 2019",3,280
26,"December 12, 2017",3,115
27,"July 17, 2018",3,67
28,"December 18, 2014",3,58
29,"August 19, 2019",3,10
30,"October 18, 2019",3,388
31,"November 3, 2020",3,80
32,"March 9, 2015",3,14
33,"November 25, 2017",3,32
34,"December 17, 2013",3,65
35,"January 24, 2019",3,600
36,"February 22, 2012",3,238
37,"February 1, 2016",3,51
38,"July 17, 2014",3,46
39,"May 4, 2015",3,10
40,"March 12, 2019",3,47
41,"April 17, 2009",3,90
42,"August 20, 2021",3,55
43,"September 12, 2018",3,126
44,"February 11, 2011",2,18
45,"January 16, 2013",2,37
46,"April 16, 2020",2,60
47,"April 20, 2016",2,60
48,"November 11, 2015",2,44
49,"January 8, 2014",2,586
50,"July 7, 2020",2,53
51,"May 4, 2019",2,85
52,"May 16, 2019",2,23
53,"November 18, 2019",2,64
54,"July 28, 2020",2,620
55,"November 26, 2012",2,80
56,"May 13, 2015",2,112
57,"March 8, 2014",2,240
58,"August 22, 2022",2,40
59,"February 16, 2020",2,32
60,"April 14, 2008",2,40
61,"March 28, 2019",2,76
62,"August 18, 2021",2,50
63,"January 26, 2022",2,249
64,"October 19, 2021",2,40
65,"May 27, 2020",2,60
66,"November 12, 2014",2,123
67,"January 16, 2020",2,50
68,"August 4, 2009",2,60
69,"October 15, 2015",2,39
70,"April 8, 2020",2,209
71,"April 28, 2020",2,232
72,"August 6, 2019",2,39
73,"October 25, 2010",2,209
74,"July 31, 2013",2,48
75,"September 20, 2011",2,92
76,"October 21, 2020",2,90
77,"June 18, 2015",2,109
78,"December 27, 2017",2,77
79,"May 18, 2016",2,103
80,"August 5, 2012",2,200
81,"September 27, 2017",2,20
82,"October 14, 2010",2,69
83,"April 10, 2015",2,50
84,"April 21, 2020",2,193
85,"July 5, 2011",2,91
86,"September 26, 2015",2,180
87,"March 13, 2017",2,111
88,"January 6, 2022",2,24
89,"February 25, 2020",2,165
90,"May 8, 2014",2,120
91,"July 16, 2020",2,57
92,"August 4, 2014",2,33
93,"September 16, 2019",2,135
94,"December 17, 2019",2,162
95,"April 6, 2020",2,68
96,"January 17, 2019",2,36
97,"June 4, 2018",2,30
98,"June 19, 2020",2,50
99,"March 19, 2014",2,113
100,"January 20, 2015",2,42
101,"March 8, 2016",2,45
102,"April 4, 2022",2,66
103,"May 12, 2020",2,55
104,"May 21, 2012",2,36
105,"January 25, 2018",2,165
106,"March 8, 2020",2,30
107,"August 30, 2020",2,100
108,"March 22, 2016",2,43
109,"March 24, 2021",2,35
110,"May 5, 2020",2,29
111,"February 17, 2011",2,33
112,"June 5, 2013",2,70
113,"February 12, 2014",2,36
114,"September 14, 2021",2,28
115,"January 22, 2014",2,25
116,"March 31, 2017",2,40
117,"February 3, 2021",2,44
118,"December 21, 2012",2,385
119,"June 24, 2015",2,49
120,"August 5, 2011",2,83
121,"April 29, 2021",2,66
122,"April 10, 2020",2,166
123,"August 25, 2016",2,148
124,"October 26, 2018",2,70
125,"November 5, 2014",2,140
126,"January 11, 2022",2,78
127,"November 3, 2016",2,42
128,"March 4, 2019",2,160
129,"November 5, 2018",2,170
130,"January 30, 2015",2,20
131,"July 31, 2019",2,109
132,"June 2, 2015",2,41
133,"May 5, 2015",2,100
134,"November 9, 2021",2,141
135,"August 13, 2018",2,67
136,"February 2, 2016",2,44
137,"May 8, 2015",2,30
138,"May 9, 2021",2,36
139,"November 5, 2013",2,40
140,"June 8, 2021",2,68
141,"October 19, 2016",2,71
142,"December 21, 2015",2,42
143,"May 29, 2020",2,35
144,"May 18, 2013",2,26
145,"November 14, 2017",2,80
146,"April 9, 2012",2,62
147,"August 21, 2014",2,67
148,"January 10, 2014",2,26
149,"December 10, 2019",2,54
150,"April 10, 2017",2,23
151,"June 15, 2016",2,22
152,"July 10, 2018",2,50
153,"July 2, 2015",2,32
154,"February 20, 2019",2,33
155,"June 10, 2020",2,30
156,"April 24, 2017",2,33
157,"October 19, 2020",2,23
158,"October 17, 2016",2,13
159,"August 25, 2020",2,193
160,"September 4, 2015",2,64
161,"December 12, 2019",2,500
162,"November 18, 2020",2,115
163,"August 17, 2017",2,54
164,"July 5, 2022",2,104
165,"May 20, 2014",2,53
166,"October 25, 2011",2,55
167,"October 16, 2015",2,89
168,"December 8, 2020",2,46
169,"December 18, 2012",2,12
170,"October 27, 2021",2,224
171,"July 20, 2020",2,26
172,"March 26, 2021",2,16
173,"March 25, 2021",2,0
174,"February 4, 2014",2,10
175,"September 9, 2014",2,0
176,"May 29, 2021",2,0
177,"July 4, 2015",2,150
178,"July 20, 2017",2,66
179,"March 22, 2010",2,21
180,"November 11, 2021",2,137
181,"February 24, 2020",2,100
182,"July 1, 2020",2,120
183,"June 13, 2019",2,260
184,"April 19, 2013",2,78
185,"June 16, 2016",2,274
186,"May 26, 2009",2,27
187,"February 6, 2017",2,14
188,"March 21, 2017",2,61
189,"July 16, 2012",2,15
190,"September 1, 2011",2,40
191,"March 10, 2020",2,55
192,"September 24, 2018",2,200
193,"January 14, 2013",2,106
194,"July 27, 2020",2,30
195,"February 23, 2018",2,60
196,"May 14, 2019",2,73
197,"November 29, 2017",2,49
198,"March 24, 2011",2,123
199,"October 4, 2011",2,70
200,"April 22, 2016",2,60
201,"May 21, 2021",2,130
202,"July 2, 2014",2,25
203,"April 23, 2013",2,36
204,"December 24, 2014",2,15
205,"September 10, 2018",2,340
206,"May 24, 2017",2,155
207,"September 13, 2014",2,320
208,"June 22, 2021",2,130
209,"February 22, 2018",2,21
210,"November 12, 2021",2,100
211,"March 29, 2018",2,50
212,"September 21, 2017",1,30
213,"August 12, 2022",1,42
214,"May 17, 2010",1,30
215,"August 18, 2022",1,44
216,"May 1, 2013",1,30
217,"March 15, 2010",1,31
218,"April 2, 2009",1,31
219,"January 23, 2018",1,44
220,"January 22, 2018",1,44
221,"August 19, 2020",1,30
222,"June 15, 2011",1,44
223,"September 10, 2014",1,31
224,"June 2, 2021",1,44
225,"August 12, 2018",1,45
226,"November 29, 2005",1,31
227,"December 23, 2009",1,30
228,"October 11, 2021",1,42
229,"December 20, 2019",1,42
230,"July 14, 2020",1,40
231,"June 15, 2019",1,40
232,"June 9, 2020",1,40
233,"January 17, 2020",1,30
234,"November 12, 2017",1,30
235,"March 1, 2021",1,40
236,"December 26, 2014",1,40
237,"August 25, 2005",1,32
238,"August 21, 2017",1,40
239,"April 2, 2020",1,30
240,"October 7, 2019",1,40
241,"October 23, 2015",1,40
242,"May 14, 2014",1,40
243,"October 26, 2017",1,40
244,"September 5, 2022",1,41
245,"November 23, 2021",1,42
246,"September 18, 2014",1,42
247,"September 25, 2012",1,30
248,"February 18, 2019",1,45
249,"January 20, 2022",1,30
250,"July 19, 2007",1,30
251,"March 30, 2020",1,45
252,"April 5, 2019",1,30
253,"April 23, 2012",1,30
254,"February 11, 2021",1,48
255,"August 3, 2006",1,49
256,"February 24, 2022",1,30
257,"May 13, 2013",1,49
258,"May 6, 2015",1,30
259,"September 26, 2016",1,28
260,"August 16, 2017",1,28
261,"July 25, 2016",1,28
262,"October 18, 2010",1,50
263,"June 15, 2020",1,45
264,"March 11, 2019",1,28
265,"December 3, 2015",1,30
266,"December 13, 2015",1,50
267,"December 7, 2015",1,50
268,"August 17, 2018",1,50
269,"November 12, 2007",1,50
270,"July 8, 2016",1,28
271,"July 16, 2018",1,28
272,"February 6, 2021",1,50
273,"January 31, 2016",1,30
274,"January 29, 2019",1,48
275,"October 22, 2015",1,48
276,"February 14, 2020",1,48
277,"January 6, 2020",1,32
278,"May 29, 2017",1,45
279,"February 6, 2016",1,30
280,"November 29, 2012",1,30
281,"October 25, 2017",1,46
282,"November 8, 2018",1,46
283,"November 12, 2013",1,30
284,"January 29, 2014",1,46
285,"July 23, 2015",1,46
286,"March 29, 2020",1,47
287,"April 29, 2016",1,30
288,"November 4, 2013",1,47
289,"September 20, 2016",1,48
290,"March 14, 2022",1,48
291,"April 12, 2016",1,30
292,"February 11, 2019",1,30
293,"February 4, 2016",1,30
294,"November 11, 2012",1,30
295,"November 1, 2021",1,30
296,"June 2, 2018",1,40
297,"February 13, 2020",1,40
298,"January 12, 2022",1,40
299,"February 12, 2020",1,34
300,"February 26, 2021",1,30
301,"February 23, 2012",1,30
302,"November 19, 2021",1,36
303,"June 29, 2011",1,37
304,"April 26, 2011",1,37
305,"September 16, 2020",1,38
306,"March 5, 2012",1,30
307,"December 30, 2012",1,30
308,"February 10, 2011",1,38
309,"January 25, 2010",1,30
310,"July 18, 2014",1,38
311,"April 2, 2019",1,39
312,"August 21, 2016",1,39
