,Last Update Posted,count,enrolled
0,"January 5, 2022",22,489
1,"September 28, 2022",12,671
2,"April 5, 2022",10,263
3,"March 17, 2020",8,355
4,"May 9, 2022",7,315
5,"April 27, 2017",7,101
6,"September 22, 2022",7,155
7,"September 10, 2022",7,193
8,"March 31, 2022",6,367
9,"June 5, 2019",6,82
10,"January 21, 2020",5,146
11,"August 24, 2022",5,426
12,"May 12, 2016",5,232
13,"March 4, 2021",5,46
14,"May 13, 2022",5,78
15,"September 16, 2020",5,543
16,"July 24, 2019",5,134
17,"April 28, 2021",5,116
18,"May 31, 2013",5,351
19,"June 9, 2021",5,294
20,"March 22, 2022",5,99
21,"January 11, 2022",5,170
22,"October 22, 2020",5,55
23,"August 10, 2017",5,24
24,"December 23, 2020",4,140
25,"May 1, 2019",4,194
26,"April 4, 2022",4,127
27,"March 30, 2017",4,38
28,"May 12, 2020",4,113
29,"June 14, 2022",4,152
30,"August 25, 2021",4,52
31,"July 22, 2022",4,120
32,"April 26, 2017",4,110
33,"August 1, 2022",4,18
34,"March 4, 2020",4,126
35,"April 15, 2020",4,76
36,"May 3, 2022",4,106
37,"January 22, 2021",4,271
38,"August 15, 2022",4,159
39,"September 29, 2022",4,210
40,"August 2, 2022",4,151
41,"September 26, 2022",4,64
42,"July 21, 2021",4,77
43,"October 14, 2021",4,97
44,"April 10, 2019",4,119
45,"December 17, 2021",4,78
46,"August 31, 2022",4,140
47,"October 17, 2016",4,66
48,"April 20, 2022",4,52
49,"July 6, 2021",4,0
50,"August 30, 2022",4,520
51,"September 7, 2022",4,428
52,"August 28, 2020",4,211
53,"August 12, 2022",4,233
54,"May 5, 2022",4,274
55,"July 15, 2020",4,95
56,"December 4, 2014",4,30
57,"August 10, 2021",4,132
58,"November 28, 2012",4,60
59,"February 15, 2022",4,68
60,"April 6, 2022",4,128
61,"August 29, 2022",4,60
62,"October 7, 2022",3,106
63,"January 9, 2018",3,40
64,"March 18, 2020",3,5
65,"September 16, 2021",3,48
66,"December 19, 2018",3,47
67,"February 10, 2022",3,305
68,"April 9, 2021",3,270
69,"July 8, 2021",3,322
70,"August 7, 2020",3,76
71,"June 7, 2022",3,76
72,"October 15, 2021",3,121
73,"March 15, 2022",3,117
74,"May 6, 2022",3,600
75,"June 26, 2020",3,197
76,"February 28, 2020",3,134
77,"March 10, 2020",3,84
78,"February 18, 2022",3,271
79,"July 28, 2022",3,15
80,"June 23, 2021",3,76
81,"August 11, 2022",3,356
82,"August 9, 2022",3,44
83,"March 9, 2022",3,147
84,"July 5, 2022",3,43
85,"April 9, 2019",3,179
86,"September 8, 2022",3,111
87,"June 4, 2020",3,48
88,"May 12, 2022",3,35
89,"November 28, 2017",3,64
90,"March 7, 2022",3,200
91,"July 11, 2022",3,170
92,"February 17, 2020",3,154
93,"July 14, 2021",3,122
94,"March 5, 2013",3,50
95,"November 30, 2017",3,32
96,"September 23, 2022",3,167
97,"May 25, 2021",3,56
98,"June 9, 2015",3,97
99,"April 21, 2022",3,87
100,"June 25, 2021",3,53
101,"June 8, 2022",3,240
102,"October 28, 2021",3,316
103,"October 24, 2017",3,94
104,"March 17, 2021",3,132
105,"April 27, 2022",3,66
106,"June 12, 2017",3,68
107,"July 25, 2022",3,43
108,"December 7, 2021",3,60
109,"January 14, 2022",3,248
110,"September 21, 2022",3,320
111,"January 10, 2018",3,15
112,"February 9, 2021",3,27
113,"July 8, 2015",3,270
114,"January 13, 2020",3,95
115,"March 11, 2020",3,401
116,"September 30, 2015",3,220
117,"October 3, 2022",3,43
118,"February 2, 2022",3,60
119,"September 10, 2020",3,114
120,"May 13, 2014",3,123
121,"July 30, 2020",3,668
122,"July 7, 2020",3,103
123,"July 8, 2022",3,538
124,"July 7, 2021",3,86
125,"October 8, 2013",2,25
126,"May 10, 2019",2,260
127,"January 16, 2013",2,120
128,"July 18, 2018",2,58
129,"May 23, 2019",2,20
130,"August 10, 2022",2,63
131,"March 29, 2021",2,44
132,"April 26, 2022",2,38
133,"May 9, 2014",2,70
134,"September 7, 2020",2,44
135,"April 1, 2015",2,60
136,"January 19, 2022",2,252
137,"February 3, 2021",2,113
138,"June 27, 2022",2,160
139,"May 6, 2020",2,120
140,"February 18, 2020",2,104
141,"January 9, 2019",2,260
142,"December 30, 2014",2,31
143,"March 17, 2022",2,85
144,"January 12, 2022",2,211
145,"November 9, 2020",2,50
146,"August 23, 2021",2,82
147,"September 6, 2017",2,48
148,"August 19, 2022",2,62
149,"May 15, 2015",2,70
150,"April 16, 2008",2,40
151,"January 18, 2020",2,58
152,"December 13, 2017",2,20
153,"January 26, 2022",2,40
154,"October 19, 2010",2,80
155,"April 29, 2022",2,5030
156,"September 6, 2019",2,89
157,"November 4, 2021",2,70
158,"May 24, 2016",2,60
159,"December 23, 2021",2,125
160,"December 2, 2014",2,70
161,"June 22, 2020",2,68
162,"March 11, 2022",2,65
163,"July 10, 2020",2,56
164,"January 18, 2019",2,71
165,"August 20, 2009",2,40
166,"August 24, 2021",2,230
167,"October 14, 2011",2,57
168,"December 3, 2021",2,131
169,"May 24, 2021",2,78
170,"March 21, 2022",2,180
171,"April 3, 2015",2,122
172,"May 7, 2019",2,101
173,"December 14, 2021",2,68
174,"January 31, 2022",2,43
175,"May 27, 2015",2,43
176,"November 4, 2020",2,138
177,"August 29, 2016",2,60
178,"June 7, 2012",2,100
179,"March 6, 2012",2,75
180,"November 16, 2021",2,280
181,"August 3, 2012",2,120
182,"October 6, 2021",2,313
183,"April 21, 2021",2,55
184,"March 16, 2022",2,130
185,"October 5, 2011",2,40
186,"June 20, 2012",2,50
187,"April 30, 2020",2,75
188,"July 19, 2022",2,119
189,"January 25, 2019",2,64
190,"November 20, 2012",2,284
191,"November 18, 2016",2,89
192,"June 9, 2020",2,133
193,"October 9, 2013",2,38
194,"April 26, 2018",2,216
195,"April 11, 2019",2,38
196,"January 27, 2022",2,190
197,"February 25, 2020",2,56
198,"August 19, 2021",2,109
199,"May 3, 2018",2,77
200,"August 8, 2022",2,77
201,"February 13, 2015",2,175
202,"November 8, 2016",2,32
203,"April 6, 2018",2,42
204,"April 11, 2022",2,74
205,"October 26, 2020",2,144
206,"May 24, 2022",2,99
207,"August 16, 2018",2,57
208,"February 18, 2021",2,52
209,"January 24, 2022",2,102
210,"July 26, 2022",2,112
211,"October 17, 2019",2,94
212,"September 30, 2022",2,28
213,"June 30, 2020",2,122
214,"January 15, 2015",2,27
215,"January 20, 2022",2,86
216,"September 6, 2022",2,67
217,"February 14, 2022",2,254
218,"May 10, 2017",2,80
219,"September 9, 2022",2,42
220,"February 22, 2016",2,230
221,"December 17, 2020",2,78
222,"September 8, 2021",2,53
223,"February 19, 2016",2,40
224,"March 4, 2022",2,44
225,"September 24, 2019",2,46
226,"October 13, 2010",2,100
227,"January 10, 2013",2,100
228,"February 21, 2021",2,65
229,"January 14, 2015",2,38
230,"June 24, 2016",2,511
231,"August 3, 2022",2,602
232,"June 7, 2019",2,13
233,"September 12, 2014",2,8
234,"August 14, 2017",2,69
235,"May 18, 2022",2,786
236,"January 21, 2022",2,85
237,"December 4, 2020",2,56
238,"December 2, 2017",2,30
239,"September 24, 2021",2,70
240,"June 2, 2020",2,61
241,"April 23, 2021",2,18
242,"June 29, 2016",2,109
243,"April 23, 2012",2,19
244,"July 20, 2022",2,33
245,"April 20, 2017",2,207
246,"August 4, 2022",2,69
247,"April 26, 2021",2,134
248,"May 13, 2020",2,62
249,"July 29, 2022",2,27
250,"June 24, 2019",2,32
251,"January 14, 2016",2,4
252,"January 30, 2018",2,45
253,"December 3, 2018",2,39
254,"May 27, 2022",2,306
255,"April 6, 2021",2,49
256,"March 1, 2021",2,127
257,"May 21, 2020",2,13
258,"August 19, 2020",2,102
259,"January 3, 2020",2,27
260,"August 28, 2019",2,126
261,"May 17, 2022",2,37
262,"January 25, 2018",2,131
263,"January 13, 2022",2,550
264,"February 7, 2018",2,128
265,"December 28, 2021",2,100
266,"August 7, 2017",2,9
267,"November 26, 2021",2,66
268,"March 7, 2018",2,30
269,"April 10, 2015",2,51
270,"November 23, 2016",2,21
271,"October 30, 2020",2,8
272,"April 6, 2017",2,480
273,"January 5, 2016",2,13
274,"December 14, 2011",2,12
275,"September 14, 2021",2,240
276,"June 2, 2022",2,200
277,"December 2, 2015",2,42
278,"April 8, 2016",2,30
279,"April 8, 2021",2,37
280,"March 9, 2020",2,0
281,"August 6, 2020",2,25
282,"September 14, 2022",2,120
283,"May 12, 2021",2,13
284,"February 4, 2022",2,250
285,"October 7, 2021",2,29
286,"September 12, 2018",2,340
287,"January 1, 2016",2,20
288,"June 6, 2016",2,30
289,"April 8, 2022",2,86
290,"January 27, 2021",2,51
291,"September 16, 2014",2,320
292,"April 7, 2017",2,10
293,"January 29, 2021",2,36
294,"May 12, 2015",2,110
295,"January 8, 2019",2,188
296,"March 24, 2021",2,22
297,"October 16, 2015",2,35
298,"May 25, 2022",2,329
299,"March 2, 2022",2,50
300,"February 15, 2019",2,27
301,"June 15, 2022",2,12
302,"January 5, 2012",2,12
303,"August 20, 2020",2,105
304,"October 25, 2011",2,60
305,"August 14, 2018",2,25
306,"September 27, 2022",2,26
307,"November 8, 2017",1,40
308,"October 5, 2020",1,40
309,"August 4, 2017",1,40
310,"September 11, 2018",1,200
311,"September 9, 2021",1,180
312,"July 22, 2015",1,200
313,"July 9, 2018",1,33
314,"January 18, 2012",1,40
315,"February 4, 2021",1,130
316,"June 28, 2016",1,40
317,"November 14, 2014",1,130
318,"August 5, 2015",1,33
319,"November 2, 2021",1,169
320,"June 19, 2018",1,200
321,"September 1, 2020",1,34
322,"December 5, 2012",1,40
323,"May 17, 2016",1,40
324,"August 29, 2017",1,40
325,"October 29, 2020",1,40
326,"December 31, 2020",1,152
327,"October 21, 2014",1,40
328,"August 6, 2014",1,156
329,"December 7, 2010",1,158
330,"August 18, 2022",1,40
331,"June 27, 2013",1,200
332,"November 16, 2020",1,39
333,"December 1, 2010",1,40
334,"August 23, 2017",1,40
335,"January 23, 2018",1,39
336,"March 12, 2020",1,150
337,"December 5, 2019",1,160
338,"February 8, 2022",1,150
339,"September 24, 2020",1,38
340,"February 15, 2018",1,37
341,"April 25, 2014",1,150
342,"January 11, 2011",1,36
343,"June 28, 2022",1,36
344,"April 13, 2018",1,140
