,Locations,count,enrolled
0,nan,149,6941
1,"Royan Institute, Tehran, Iran, Islamic Republic of",28,628
2,"Medical Surgical Associates Center, St. John's, Antigua and Barbuda",27,490
3,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",18,418
4,"Hope Biosciences Stem Cell Research Foundation, Sugar Land, Texas, United States",16,299
5,"Samsung Medical Center, Seoul, Korea, Republic of",13,233
6,"Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus, Minsk, Belarus",11,199
7,"Department of Hematology,Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong, China",10,992
8,"Mayo Clinic in Florida, Jacksonville, Florida, United States",7,93
9,"Cell Therapy Center, Amman, Jordan",7,82
10,"Vinmec Research Institute of Stem Cell and Gene Technology, Hanoi, Vietnam",7,426
11,"Cleveland Clinic, Cleveland, Ohio, United States",7,198
12,"Mayo Clinic, Rochester, Minnesota, United States",7,206
13,"Taipei Veterans General Hospital, Taipei, Taiwan",7,138
14,"M D Anderson Cancer Center, Houston, Texas, United States",7,262
15,"Fuzhou General Hospital, Fuzhou, Fujian, China",6,189
16,"The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China",6,189
17,"Hospital Universitario La Paz, Madrid, Spain",6,77
18,"Stem Cell Research Center of Medical School Hospital of Qingdao University, Qingdao, Shandong, China",5,230
19,"Guangdong Provincial Hospital of Traditional Chinese Medicine, Guangzhou, Guangdong, China",5,44
20,"Inner Mongolia International Mongolian Hospital, Hohhot, Inner Mongolia, China",5,210
21,"Stem Cell Institute, Panama City, Panama",5,60
22,"Chinese PLA General Hospital, Beijing, Beijing, China",5,273
23,"the First Hospital of Hebei Medical University, Shijiazhuang, Hebei, China",5,70
24,"Duke University Medical Center, Durham, North Carolina, United States",5,291
25,"Department of Hematology of the 2nd Hospital of Shandong University, Jinan, Shandong, China",4,100
26,"Hospital São Rafael, Salvador, Bahia, Brazil",4,49
27,"University of Miami Miller School of Medicine, Miami, Florida, United States",4,85
28,"Rush University Medical Center, Chicago, Illinois, United States",4,252
29,"Yantai Yuhuangding Hospital, Yantai, Shandong, China",4,174
30,"Cell Therapy Center, University of Jordan, Amman, Jordan",4,54
31,"Hallym university Medical Center, Seoul, Korea, Republic of",4,62
32,"Beijing 302 Hospital, Beijing, Beijing, China",4,536
33,"Children's Hospital of Chongqing Medical University, Chongqing, Chongqing, China",4,119
34,"Guangzhou General Hospital of Guangzhou Military Command, Guangzhou, Guangdong, China",4,190
35,"Uppsala University Hospital, Uppsala, Sweden",4,103
36,"Xiangya Hospital Central South University, Changsha, Hunan, China",4,114
37,"Taipei Medical University - Shuang Ho Hospital, Ministry of Health and Welfare., New Taipei City, Taiwan",4,42
38,"Asan Medical Center, Seoul, Korea, Republic of | Samsung Medical Center, Seoul, Korea, Republic of",3,191
39,"UKM Medical Centre, Kuala Lumpur, Malaysia",3,150
40,"University of Texas MD Anderson Cancer Center, Houston, Texas, United States",3,123
41,"Liaocheng city people's hospital, Liaocheng, Shandong, China",3,170
42,"CHA University, CHA Bundang Medical Center, Seongnam-si, Gyeonggi-do, Korea, Republic of",3,44
43,"Hadassah Medical Organization, Jerusalem, Israel",3,74
44,"The First Affiliated Hospital, Sun Yat-sen University, Guangzhou, Guangdong, China",3,300
45,"Stem Cells Arabia, Amman, Jordan",3,105
46,"Asan Medical Center, Seoul, Korea, Republic of",3,25
47,"Medical University of South Carolina, Charleston, South Carolina, United States",3,112
48,"China Medical University Hospital, Taichung, Non-US, Taiwan",3,126
49,"Cipto Mangunkusumo Hospital, Jakarta Pusat, DKI Jakarta, Indonesia",3,35
50,"Hospital Puerta de Hierro, Majadahonda, Madrid, Spain",3,32
51,"Asan medical center, Seoul, Korea, Republic of",3,40
52,"University of Miami, Miami, Florida, United States",3,51
53,"Institute of Bio-Stem Cell Rehabilitation, Kharkov, Ukraine",3,877
54,"Beijing 302 Hospital, Beijing, China",3,259
55,"Kanazawa University Hospital, Kanazawa, Ishikawa, Japan",3,16
56,"2014 Department of Cardiology, The Heart Centre, University Hospital Rigshospitalet, Copenhagen, Denmark",3,40
57,"BMT department, Moscow, Russian Federation",3,130
58,"Tisch MS Research Center of New York, New York, New York, United States",3,70
59,"Ruijin Hospital Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China",3,108
60,"Emory University, Atlanta, Georgia, United States",3,20
61,"The University of Texas Health Science Center at Houston, Houston, Texas, United States",3,95
62,"Yihua An, Beijing, China",3,110
63,"University Clinical Hospital of Salamanca, Salamanca, Salamanca/Castilla León, Spain",2,25
64,"First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, China",2,200
65,"Memorial Hermann Hospital-Clinical Research Unit (MMH-CRU), Houston, Texas, United States",2,24
66,"Division of Colorectal Surgery, Department of Surgery, Tehran University of Medical Sciences, Tehran, Iran, Tehran, Iran, Islamic Republic of",2,160
67,"The First Affiliated Hospital of Dalian Medical University, Dalian, Liaoning, China",2,86
68,"Inje University Haeundae Paik Hospital, Busan, Korea, Republic of | Yeungnam University Medical Center, Daegu, Korea, Republic of | Seoul National Universtiy Bundang Hospital, Seongnam-si, Korea, Republic of | Severance Hospital, Seoul, Korea, Republic of | Asan Medical Center, Seoul, Korea, Republic of | Soeul National University Hospital, Soeul, Korea, Republic of | The Catholic University of Korea, St. Vincent'S Hospital., Suwon-si, Korea, Republic of",2,48
69,"Hospital Clínico Virgen de la Arrixaca, El Palmar, Murcia, Spain",2,20
70,"Fuzhou General Hospital, Xiamen Univ, Fuzhou, Fujian, China",2,142
71,"University of Minnesota Masonic Cancer Center and Medical Center, Minneapolis, Minnesota, United States",2,116
72,"Erciyes University, Kayseri, Turkey",2,50
73,"Institut de Terapia Regenerativa Tissular, Barcelona, Spain",2,30
74,"Kessler Foundation, West Orange, New Jersey, United States",2,104
75,"Saint-Louis Hospital, Paris, France",2,30
76,"Affiliated Hospital of Logistics Universtiy of CAPF, Tianjin, China",2,60
77,"Medical Centre Dinasty, Samara, Russian Federation",2,120
78,"Maternal and Child Health Hospital of Foshan, Foshan, Guangdong, China",2,130
79,"Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China",2,30
80,"Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, Ribeirão Preto, São Paulo, Brazil",2,19
81,"Yonsei University College of Medicine, Seoul, Korea, Republic of",2,18
82,"Life Clinic, Warsaw, Mazovian, Poland",2,200
83,"Humanitas Research Hospital, Rozzano, Milan, Italy",2,265
84,"Samsung Medical Center, Seoul, Korea, Republic of | Samsung Medical Center, Seoul, Korea, Republic of",2,31
85,"The Ottawa Hospital, Ottawa, Ontario, Canada",2,24
86,"ISCI / University of Miami Miller School of Medicine, Miami, Florida, United States",2,14
87,"Qilu hospital of Shandong University, Jinan, Shandong, China",2,38
88,"St. Jude Children's Research Hospital, Memphis, Tennessee, United States",2,17
89,"Rigshospitalet, Copenhagen, DK, Denmark",2,47
90,"Leiden University Medical Center, Leiden, Netherlands",2,80
91,"Nanjing Drum Tower Hospital, Nanjing, Jiangsu, China",2,46
92,"University Medical Center Utrecht, Utrecht, Netherlands",2,95
93,"University of Southern California, Los Angeles, California, United States",2,120
94,"The Third Affiliated Hospital, Sun Yat-Sen University, Guangzhou, Guangdong, China",2,109
95,"Department of Rheumatology,Ren Ji Hospital,School of Medicine,Shanghai Jiao Tong University,Shanghai,China, Shanghai, Shanghai, China",2,40
96,"Emdai Kamyab Hospital, Mashhad, Khorasan, Iran, Islamic Republic of",2,37
97,"Karolinska University Hospital, Stockholm, Sweden",2,34
98,"Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China",2,40
99,"CHU de Liège, Liège, Belgium",2,80
100,"Chinese PLA General Hospital, Beijing, China",2,50
101,"Shanghai East Hospital, Shanghai Tongji University, Shanghai, China",2,46
102,"Zhujiang Hospital, Southern Medical University, Guangzhou, Guangdong, China",2,136
103,"Mitera Hospital Athens Greece, Marousi, Greece",2,30
104,"Campus Bio-Medico University of Rome, Roma, Italy",2,104
105,"Faculty of Medicine, Universitas Indonesia, Jakarta Pusat, DKI Jakarta, Indonesia",2,45
106,"Shanghai East Hospital, Shanghai, Shanghai, China",2,94
107,"The Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China",2,270
108,"Kasiak Research Pvt Ltd, Thane, Maharashtra, India",2,120
109,"Nanjing University Medical College Affiliated Drum Tower Hospital, Nanjing, Jiangsu, China",2,40
110,"Seoul National University College of Medicine, Seoul, Korea, Republic of",2,36
111,"The Fifth Affiliated Hospital Immunotherapy center, Guangzhou, Guangdong, China",2,40
112,"the Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China",2,40
113,"Sun Yat-sen University, Guangzhou, Guangdong, China",2,120
114,"KyungHee University Gangdong Hospital, Seoul, Korea, Republic of | GangNam Severance Hospital, Seoul, Korea, Republic of",2,35
115,"Shanghai East Hospital, Shanghai Tongji University, Shanghai, Shanghai, China",2,50
116,"Stem Cells of Arabia, Amman, Jordan",2,70
117,"The second Affiliated Hospital of University of Soth China, Hengyang, Hunan, China",2,30
118,"Royal Perth Hospital, Perth, Western Australia, Australia",2,76
119,"Department of Pulmonology, Leiden University Medical Center, Leiden, Netherlands",2,40
120,"Cell Therapy Center, Jordan University Hospital, Amman, Jordan",2,26
121,"Institute of Cell Therapy, Kyiv, Ukraine",2,75
122,"ISCI / University of Miami, Miami, Florida, United States",2,30
123,"Z Urology, Coral Springs, Florida, United States",2,13
124,"U.O. Nefrologia e Dialisi, Bergamo, Italy",2,28
125,"the Third Affiliated Hospital of Southern Medical University, Guangzhou, Guangdong, China",2,480
126,"Duke University, Durham, North Carolina, United States",2,17
127,"AHEPA University Hospital, Thessaloniki, Greece",2,12
128,"PT Prodia StemCell Indonesia, Jakarta, Indonesia",2,44
129,"Osaka University Hospital, Suita, Osaka, Japan",2,26
130,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",2,14
131,"Korea University Anam Hospital, Seoul, Korea, Republic of",2,15
132,"General Hospital of Chinese People's Armed Police Forces, Beijing, Beijing, China",2,600
133,"Changcun Guo, Xi'an, Shaanxi, China",2,340
134,"John Wayne Cancer Institute @ Providence St. John's Health Center, Santa Monica, California, United States",1,40
135,"The First Hospital of Lanzhou University, Lanzhou, Gansu, China | Hainan hospital of Chinese PLA General Hospital, Sanya, Hainan, China | Renmin Hospital of Wuhan University, Wuhan, Hubei, China | Shanghai Changzheng Hospital, Shanghai, Shanghai, China | Beijing 302 Hospital, Beijing, China",1,240
136,"Groupe Hospitalier Paris Saint-Joseph, Paris, France | CHU de Rennes, Rennes, France",1,40
137,"Mayo Clinic Florida, Jacksonville, Florida, United States | Mayo Clinic in Rochester, Rochester, Minnesota, United States",1,40
138,"CHU de Grenoble Hopital Albert Michallon, Grenoble, Bavaria, France | CHRU Lille- Hopital Claude Huriez, Lille, Bavaria, France | CHU de Nice Hopital Archet 1, Nice, Hessen, France | Centre Hospitalier Lyon Sud Pavillon Marcel Berard 1G, Pierre Benite Cedex, Niedersachsen, France | Rennes, Rennes, Nordrhein-Westfalen, France | Centre Hospitalier Universitaire CHU de Toulouse, Toulouse, North Rhine-Westphalia, France | Hopitaux De Brabois, Vandoeuvre les Nancy, North Rhine-Westphalia, France | Klinikum rechts der Isar, Munich, Sachsen, Germany | Universitaetsklinikum Wuerzburg - Medizinische Klinik und Poliklinik II - Zentrum fuer Allogene Blutstammzelltransplantation, Würzburg, Saxony, Germany | Klinikum der Johann Wolfgang Goethe-Universitaet - Frankfurt am Main, Frankfurt am Main, Thüringen, Germany | Medizinische Hochschule Hannover, Hannover, Thüringen, Germany | Universitatsklinikum Muenster, Münster, Dolnoslaskie, Germany | Universitaet Duisburg-Essen - Universitaetsklinikum Essen - Klinik fuer Knochenmarktransplantation (KMT), Essen, Germany | Uniklinik Koeln, Koeln, Germany | Universitatsklinikum Carl Gustav Carus Dresden, Dresden, Germany | Selbststandige Abteilung fur Hamatologie und Internistische Onkologie, Leipzig, Germany | Universitaetsklinikum Jena, Jena, Germany | Universitatsklinikum Jena, Jena, Germany | Charit Universitaetsmedizin Berlin, Berlin, Germany | University Hospital Bonn, Medizinische Klinik III, Bonn, Germany | Universitaetsklinikum Essen, Essen, Germany | Klinikum der Johann Wolfgang Goethe, Frankfurt, Germany | Universitatklinikum Freiburg, Freiburg, Germany | University Medical Center Mainz, Mainz, Germany | UniversitÃ¤tsklinikum Mannheim, Mannheim, Germany | University Hospital Tuebingen Medical Center, Tuebingen, Germany | Department of Pediatric Hematology, Oncology and BMT, Wroclaw Medical University, Wrocław, Poland | Hospital Universitario Vall dHebron, Barcelona, Spain | Barcelona, Barcelona, Spain | Institut Catal dOncologia, Barcelona, Spain | Barcelona, Barcelona, Spain | Hospital Germans Trias i Pujol, Barcelona, Spain | Hospital Universitario Ramon y Cajal, Madrid, Spain | Hospital Puerta De Hierro, Madrid, Spain | Hospital Clinico Universitario de Valencia, Valencia, Spain | Center for Allogeneic Stem Cell Transplantation and Cell Therapy (CAST), Karolinska Universitetssjukhuset Huddinge, Huddinge, Sweden",1,210
139,"Vinmec International Hospital Times City, Hà Nội, Hanoi, Vietnam",1,40
140,"the southwest Hospital, Chongqing, Chongqing, China",1,40
141,"Al-Zahra Heart Hospital, Shiraz University of Medical Sciences, Shiraz, Fars, Iran, Islamic Republic of | Faghihi Hospital, Shiraz, Fars, Iran, Islamic Republic of | Namazee Hospital, Shiraz, Fars, Iran, Islamic Republic of",1,240
142,"Hospital San Vicente Fundación, Medellín, Antioquia, Colombia",1,40
143,"Ulm University Hospital, Clinic of Anesthesiology and Intensive Care Medicine, Ulm, Germany",1,40
144,"The Fourth People's Hospital of Shenzhen, Shenzhen, Guangdong, China",1,40
145,"University Hospital Liege, Liege, Belgium",1,40
146,"BioXcellerator, Medellin, Antioquia-CO, Colombia | Clinical Somer, Rionegro, Antioquia, Colombia",1,40
147,"Mercy Gilbert Medical Center / Catholic Health Care West, Gilbert, Arizona, United States | University of Arizona, Tucson, Arizona, United States | UC Davis Medical Center, Sacramento, California, United States | University of California - San Diego (UCSD), San Diego, California, United States | Mount Sinai Medical Center, Miami Beach, Florida, United States | University of Miami, Miami, Florida, United States | Rush University Medical Center, Chicago, Illinois, United States | The Care Group, Indianapolis, Indiana, United States | University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States | Cotton-O'Neil Clinical Research Center, Topeka, Kansas, United States | University of Maryland Hospital, Baltimore, Maryland, United States | Tufts Medical Center, Boston, Massachusetts, United States | Baystate Medical Center, Springfield, Massachusetts, United States | UMass Memorial Medical Center, Worcester, Massachusetts, United States | William Beaumont Hospital, Royal Oak, Michigan, United States | Michigan Cardiovascular Institute, Saginaw, Michigan, United States | Minneapolis Heart Institute, Minneapolis, Minnesota, United States | UMDNJ - Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States | University at Buffalo - Buffalo General Hospital, Buffalo, New York, United States | Stony Brook University Medical Center, Stony Brook, New York, United States | Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States | The Lindner Research Center, Cincinnati, Ohio, United States | The Ohio State University Medical Center, Columbus, Ohio, United States | Oregon Health & Science University, Portland, Oregon, United States | Penn State University - Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States | Drexel University College of Medicine, Philadelphia, Pennsylvania, United States | Allegheny General Hospital, Pittsburgh, Pennsylvania, United States | The Stern Cardiovascular Center, Germantown, Tennessee, United States | Austin Heart P.A., Austin, Texas, United States | University of Texas Health Science Center, Houston, Texas, United States | Fletcher Allen Health Care, Burlington, Vermont, United States | University of Wisconsin School of Medicine, Madison, Wisconsin, United States | McGill University Health Centre, Montreal, Quebec, Canada",1,220
148,"Dignity Health, Gilbert, Arizona, United States | University of Southern California, Los Angeles, California, United States | Stanford University, Stanford, California, United States | Emory University, Atlanta, Georgia, United States | Lutheran Hospital, Fort Wayne, Indiana, United States | Ochsner Clinic, New Orleans, Louisiana, United States | Maine Medical Center, Portland, Maine, United States | University of Maryland, Baltimore, Maryland, United States | Brigham and Women's Hospital, Boston, Massachusetts, United States | University of Michigan, Ann Arbor, Michigan, United States | Dartmouth-Hitchcock, Lebanon, New Hampshire, United States | New York University Langone Health, New York, New York, United States | Mount Sinai Health, New York, New York, United States | Northwell Health, New York, New York, United States | Duke University Medical Center, Durham, North Carolina, United States | WakeMed, Raleigh, North Carolina, United States | Cleveland Clinic Foundation, Cleveland, Ohio, United States | University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States | Houston Methodist Hospital, Houston, Texas, United States | Baylor, Smith & White, Plano, Texas, United States | University of Virginia, Charlottesville, Virginia, United States",1,223
149,"Plastic surgery department king Edward Medical University Lahore, Lahore, Punjab, Pakistan",1,40
150,"RSUPN Dr. Cipto Mangunkusumo, Jakarta Pusat, DKI Jakarta, Indonesia | RSUP Fatmawati, Jakarta, DKI Jakarta, Indonesia | RSUP Persahabatan, Jakarta, DKI Jakarta, Indonesia | Rumah Sakit Universitas Indonesia, Depok, Jawa Barat, Indonesia",1,40
151,"Department of cardiology,Affiliated Hospital to Academy of Military Medical Sciences, Beijing, China",1,40
152,"China-Japan Friendship Hospital, Beijing, China | The Second Affiliated hospital of Zhejiang University School of Medicine, Hangzhou, China | Huashan Hospital Affiliated to Fudan University, Shanghai, China | Shanghai General Hospital, Shanghai, China | Shanghai Jiaotong University School of Medicine, Renji Hospital, Shanghai, China | Shanghai Sixth People's Hospital, Shanghai, China | Shanghai Ninth People's Hospital, Shanghai JiaoTong University School of Medicine, Shanghai, China",1,108
