,NCT Number,count,enrolled
0,NCT01770613,1,0
1,NCT03186456,1,40
2,NCT04869761,1,40
3,NCT01741857,1,40
4,NCT01591200,1,40
5,NCT04377334,1,40
6,NCT04573270,1,40
7,NCT02564328,1,40
8,NCT02140528,1,40
9,NCT02815423,1,40
10,NCT05262829,1,40
11,NCT03847844,1,40
12,NCT02619734,1,40
13,NCT03184935,1,40
14,NCT01510795,1,40
15,NCT03239535,1,40
16,NCT05279768,1,40
17,NCT03336996,1,40
18,NCT04519697,1,40
19,NCT04282928,1,40
20,NCT02643823,1,40
21,NCT03176498,1,40
22,NCT03564808,1,40
23,NCT02444858,1,40
24,NCT05191381,1,40
25,NCT05132972,1,42
26,NCT05507697,1,42
27,NCT04213131,1,42
28,NCT05532943,1,41
29,NCT02587572,1,40
30,NCT03902067,1,40
31,NCT02439541,1,40
32,NCT04739930,1,40
33,NCT04433104,1,40
34,NCT04390152,1,40
35,NCT04780685,1,40
36,NCT04992832,1,40
37,NCT04519671,1,40
38,NCT03013049,1,40
39,NCT02943889,1,40
40,NCT02786017,1,40
41,NCT03048773,1,40
42,NCT04126603,1,40
43,NCT02331134,1,40
44,NCT03294759,1,40
45,NCT02574585,1,40
46,NCT02557724,1,35
47,NCT04134676,1,38
48,NCT04925024,1,38
49,NCT01343511,1,37
50,NCT01392625,1,37
51,NCT04236479,1,36
52,NCT00476060,1,36
53,NCT04612465,1,36
54,NCT03673748,1,36
55,NCT05385159,1,36
56,NCT03896568,1,36
57,NCT05284604,1,36
58,NCT05155657,1,36
59,NCT01967186,1,36
60,NCT03102879,1,36
61,NCT02037204,1,35
62,NCT03014037,1,35
63,NCT03252535,1,35
64,NCT04219241,1,35
65,NCT01879046,1,35
66,NCT00836732,1,35
67,NCT02365142,1,38
68,NCT04562025,1,38
69,NCT01504464,1,40
70,NCT01297413,1,38
71,NCT04615455,1,40
72,NCT04520373,1,40
73,NCT03264573,1,40
74,NCT04519684,1,40
75,NCT04457609,1,40
76,NCT04011059,1,40
77,NCT03259217,1,40
78,NCT00955669,1,40
79,NCT01742533,1,40
80,NCT02833792,1,40
