,Outcome Measures,count,enrolled
0,Safety (adverse events),13,250
1,Number of cured patients|Number of patients with treatment-related adverse events,5,87
2,Number of participants with treatment-related adverse events (safety and toxicity).|Number of participants with response to the treatment regarding potential cessation of drainage from their fistula.,3,27
3,Treatment related adverse events|Complete clinical healing|Partial healing|Lack of response|Worsening disease,3,100
4,Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Wound size and depth measurement,2,9
5,nan,2,18
6,Adverse Events,2,25
7,Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Vancouver Burn Scar Scale,2,35
8,Physical function change|Change in pain density|Cartilage repair|Change in MOS item short from health survey(SF-36)|Change in Lequesne Index|Change in knee society score (KSS),2,120
9,number of patients cured,2,37
10,Peak Systolic Velocity without trimix (cm/s)|End Diastolic Velocity without trimix (cm/s),2,13
11,Safety and tolerability as measured by incidence of IP-related serious adverse events,2,46
12,Safety of injected exosomes|clinical Efficacy of injected exosomes|inflammatory markers,2,160
13,Incidence of Adverse Events|Changes in 24h urine protein quantification before and after treatment；|Changes in eGFR before and after treatment;|Changes in SLEDAI score before and after treatment；,1,16
14,OSSM-001 (100M dose) related adverse events as assessed by CTCAE v5.0|OSSM-001 (300M dose) related adverse events as assessed by CTCAE v5.0|Fistula healing assessed by radiographic (MRI) assessments for OSSM-001 (100M dose)|Fistula healing assessed by clinical assessments for OSSM-001 (100M dose)|Fistula healing assessed by radiographic (MRI) assessments for OSSM-001 (300M dose)|Fistula healing assessed by clinical assessments for OSSM-001 (300M dose),1,16
15,Incidence of adverse events by subconjunctival injection of BMMSCs|Incidence of corneal perforation rate after subconjunctival injection of BMMSCs|Time of corneal epithelialization|Visual acuity,1,16
16,Number of participants with adverse events as measure of safety and tolerability|Efficacy - Radiographic evidence|Efficacy - WOMAC assessment|Efficacy - Visual Analogue Scale(VAS) assessment|Efficacy - Lequesne Index assessment|Efficacy - Keen Society Score(KSS) assessment|Efficacy - QOL assessment,1,18
17,"Overall improvement of EB symptoms after 12 weeks (measured by percentage change of a patient's EBDASI score), score), or last available post-baseline measurement if the Week 12 measurement is missing|Assessment of adverse event (AE) occurrence|Overall improvement of EB symptoms after 12 weeks (measured by percentage change of a patient's EBDASI score)|Overall improvement of EB symptoms after 12 weeks (measured by percentage change of patient's iscorEB), or last available post-baseline measurement if the Week 12 measurement is missing|Overall improvement of EB symptoms after 12 weeks (measured by percentage change of patient's iscorEB)|Overall improvement of EB symptoms at Day 17 (measured by percentage change of a patient's EBDASI score)|Overall improvement of EB symptoms at Day 17 (measured by percentage change of a patient's iscorEB)|Overall improvement of EB symptoms at Day 35 (measured by percentage change of a patient's EBDASI score)|Overall improvement of EB symptoms at Day 35 (measured by percentage change of a patient's iscorEB)|Inflammation (measured by panel of inflammation markers)|Pain assessment as per NRS|Itch assessment as per NRS|Differences in patient's quality of life in EB|Physical examination until Week 12;|Vital signs: Body temperature until Week 12;|Vital signs: Blood pressure until Week 12;|Vital signs: Heart rate until Week 12;|Overall survival at month 24",1,16
18,tensile strength of posterior cruciate ligament|Thrombosite of Growth Factor - beta 1|basic fibroblast of growth factor,1,16
19,Safety measured by incidence of serious adverse events|Effectiveness measured by answer of refractory acute graft disease against host to first-line treatment,1,16
20,Number of Serious Adverse Events|Changes in the faecal incontinence diary|Anorectal manometry|Jorge-Wexner Score|Faecal Incontinence Quality of Life,1,16
21,Number of adverse events|Crohn's disease activity Index (CDAI),1,16
22,Frequency of Adverse Events (AE) and Serious Adverse Events (SAE)|Percentage of participants achieving ACR20 from Baseline at Week 12 and Week 24|Percentage of participants achieving ACR50 response from Baseline at Week 12 and Week 24|Percentage of participants achieving ACR70 response from Baseline at Week 12 and Week 24|Change from Baseline in the disease activity score 28-joint count using C reactive protein (DAS28-CRP) at Week 12 and Week 24|Change from Baseline in the health assessment questionnaire disability index (HAQ-DI) score at Week 12 and Week 24|Percentage of participants achieving remission by Simplified Disease Activity Index (SDAI) based criteria at Week 12 and Week 24|Change from Baseline of rheumatoid factor at Week 12 and Week 24|Change from Baseline of anti-cyclic citrullinated peptide (anti-CCP) at Week 12 and Week 24,1,16
23,Neurophysiological parameters - Combined evoked potentials|Neurophysiological parameters - Somatosensoric evoked potantials|Neurophysiological parameters - Motor evoked potentials|Neurophysiological parameters - Visual evoked potentials|MRI-Lesion volumes|MR- Brain volumes|Expanded disability status scale|Patient reported outcomes (PROs)|Nine-Hole-Peg Test (9-HPT)|Timed 25 Foot Walk (T25FW)|Visual function|Optical coherence tomography (OCT)|Rate and nature of adverse- and serious adverse events,1,18
24,Incidence and severity of treatment emergent adverse events [safety and tolerability]|Incidence and severity of serious adverse events deemed possibly related to CYP-001 [safety and tolerability]|Complete Response by Day 28|Partial Response by Day 28|Overall Survival at Day 28|Complete Response by Day 100|Partial Response by Day 100|Overall Survival at Day 100,1,16
