,Primary Completion Date,count,enrolled
0,nan,29,115
1,December 2022,29,1085
2,December 2017,26,1160
3,December 2015,21,912
4,December 2016,21,754
5,December 2021,16,807
6,"December 31, 2023",15,1132
7,December 2020,15,850
8,December 2014,15,490
9,December 2013,14,369
10,"December 31, 2022",14,760
11,December 2018,14,379
12,"December 31, 2021",12,455
13,December 2019,11,371
14,"June 30, 2023",10,918
15,June 2017,10,454
16,January 2016,10,585
17,"September 30, 2021",10,566
18,January 2026,9,160
19,December 2025,9,242
20,"June 30, 2020",9,193
21,September 2014,9,349
22,October 2022,9,507
23,September 2016,9,249
24,"December 31, 2019",9,1189
25,December 2023,9,344
26,February 2017,8,471
27,July 2017,8,191
28,"December 31, 2020",8,160
29,June 2022,8,376
30,June 2013,7,151
31,December 2024,7,412
32,October 2014,7,803
33,"September 30, 2022",7,345
34,April 2017,7,504
35,November 2025,7,132
36,March 2017,7,86
37,August 2015,7,192
38,November 2022,6,440
39,March 2016,6,194
40,March 2013,6,95
41,October 2017,6,399
42,September 2013,6,146
43,"December 30, 2022",6,411
44,June 2014,6,245
45,January 2014,6,149
46,June 2012,6,145
47,December 2010,6,228
48,October 2013,6,250
49,August 2023,6,399
50,September 2025,6,99
51,July 2013,6,187
52,May 2016,6,156
53,November 2016,6,212
54,May 2013,6,64
55,March 2014,6,298
56,July 2015,5,627
57,July 2018,5,293
58,September 2022,5,198
59,"March 31, 2021",5,177
60,September 2011,5,97
61,June 2023,5,245
62,July 2016,5,91
63,June 2016,5,111
64,April 2022,5,116
65,November 2011,5,290
66,"June 30, 2022",5,154
67,December 2012,5,126
68,October 2016,5,442
69,"December 30, 2021",5,756
70,"July 31, 2022",5,250
71,September 2018,4,434
72,"February 1, 2022",4,102
73,December 2009,4,139
74,March 2024,4,120
75,"December 30, 2020",4,94
76,August 2019,4,77
77,February 2014,4,159
78,August 2020,4,164
79,November 2021,4,143
80,"June 1, 2021",4,347
81,"December 1, 2021",4,169
82,August 2011,4,99
83,June 2018,4,218
84,January 2019,4,70
85,"June 1, 2022",4,215
86,September 2020,4,157
87,May 2017,4,138
88,April 2016,4,391
89,May 2015,4,237
90,"May 31, 2022",4,552
91,"December 1, 2022",4,102
92,"June 30, 2021",4,236
93,November 2015,4,154
94,November 2018,4,55
95,September 2021,4,77
96,March 2023,4,271
97,July 2014,4,138
98,June 2024,4,212
99,April 2018,4,68
100,March 2015,4,229
101,January 2022,4,67
102,April 2024,4,56
103,July 2023,4,654
104,February 2016,3,52
105,August 2021,3,93
106,"September 30, 2018",3,139
107,"January 31, 2022",3,28
108,"April 30, 2024",3,194
109,September 2017,3,144
110,March 2020,3,102
111,"November 30, 2022",3,34
112,June 2011,3,96
113,January 2017,3,160
114,November 2019,3,86
115,March 2010,3,100
116,May 2010,3,120
117,May 2014,3,85
118,October 2025,3,45
119,"October 30, 2020",3,315
120,July 2012,3,50
121,January 2013,3,189
122,"December 1, 2019",3,230
123,August 2022,3,240
124,April 2023,3,58
125,September 2010,3,235
126,"January 1, 2021",3,299
127,June 2021,3,172
128,October 2015,3,110
129,"September 30, 2023",3,75
130,"December 1, 2020",3,45
131,"June 1, 2020",3,83
132,November 2012,3,80
133,December 2011,3,90
134,May 2023,3,91
135,January 2023,3,130
136,"December 30, 2019",3,95
137,"November 1, 2023",3,60
138,August 2013,3,42
139,"July 1, 2020",3,82
140,July 2022,3,79
141,"July 30, 2021",3,104
142,January 2015,3,125
143,October 2011,3,61
144,September 2019,3,49
145,"October 31, 2020",3,114
146,"August 30, 2020",3,80
147,June 2015,3,117
148,"April 1, 2023",3,76
149,February 2010,3,30
150,"August 1, 2020",3,91
151,April 2011,3,56
152,February 2015,2,14
153,July 2009,2,129
154,"September 1, 2023",2,106
155,"March 31, 2024",2,70
156,August 2018,2,282
157,"June 25, 2020",2,156
158,"April 30, 2023",2,118
159,June 2009,2,207
160,May 2022,2,100
161,"June 30, 2017",2,25
162,"June 30, 2019",2,218
163,"January 31, 2019",2,127
164,May 2008,2,21
165,August 2010,2,67
166,March 2019,2,85
167,September 2012,2,100
168,October 2021,2,34
169,"October 31, 2021",2,70
170,August 2024,2,110
171,"April 30, 2021",2,28
172,October 2023,2,42
173,"May 3, 2018",2,144
174,"June 20, 2019",2,38
175,"July 31, 2020",2,12
176,"December 31, 2024",2,37
177,"December 1, 2023",2,164
178,"August 1, 2021",2,133
179,"May 31, 2020",2,324
180,September 2024,2,91
181,August 2014,2,13
182,February 2026,2,35
183,"July 1, 2022",2,215
184,"February 1, 2023",2,364
185,"December 31, 2014",2,65
186,March 2012,2,50
187,"October 1, 2022",2,54
188,March 2025,2,63
189,July 2020,2,314
190,"January 30, 2021",2,7
191,"September 25, 2021",2,72
192,January 2018,2,34
193,"October 31, 2023",2,94
194,June 2020,2,50
195,"July 1, 2023",2,255
196,February 2020,2,126
197,February 2023,2,100
198,"December 31, 2026",2,53
199,October 2018,2,39
200,"August 31, 2024",2,139
201,"February 28, 2022",2,11
202,April 2015,2,11
203,"June 30, 2026",2,118
204,August 2012,2,68
205,October 2024,2,32
206,"June 13, 2019",2,25
207,"October 30, 2019",2,56
208,"December 30, 2023",2,38
209,"November 30, 2020",2,30
210,"January 14, 2021",2,232
211,November 2014,2,90
212,September 2023,2,221
213,"December 30, 2018",2,110
214,April 2020,2,20
215,July 2011,2,70
216,"September 30, 2024",2,29
217,November 2013,2,29
218,"January 31, 2021",2,70
219,"August 1, 2019",2,230
220,"March 1, 2020",2,130
221,"November 30, 2021",2,64
222,"January 1, 2020",2,120
223,"February 2, 2021",2,16
224,December 2027,2,36
225,March 2022,2,42
226,"October 15, 2022",2,59
227,July 2010,2,12
228,March 2021,2,19
229,February 2012,2,180
230,"September 1, 2021",2,90
231,August 2017,2,335
232,"December 31, 2018",2,224
233,March 2011,2,66
234,"June 7, 2018",2,20
235,April 2014,2,22
236,"January 1, 2024",2,20
237,"March 31, 2023",2,48
238,"October 30, 2022",2,190
239,April 2013,2,140
240,January 2024,2,84
241,"October 31, 2022",2,90
242,March 2018,2,92
243,"September 15, 2014",2,403
244,"May 31, 2021",2,70
245,"July 20, 2023",2,80
246,"July 27, 2021",2,20
247,"August 30, 2023",2,110
248,January 2020,2,100
249,November 2017,2,31
250,January 2012,1,30
251,July 2021,1,25
252,"January 28, 2015",1,26
253,"October 1, 2020",1,30
254,"July 9, 2030",1,5000
255,"February 5, 2016",1,30
256,May 2009,1,30
257,"February 28, 2020",1,30
258,"January 29, 2015",1,34
259,"March 7, 2023",1,30
260,February 2009,1,30
261,"June 13, 2020",1,35
262,"March 1, 2021",1,30
263,"July 15, 2023",1,30
264,"August 15, 2021",1,26
265,"November 30, 2019",1,34
266,"May 2, 2021",1,30
267,"March 2, 2017",1,30
268,"April 3, 2019",1,30
269,February 2019,1,28
270,"October 23, 2022",1,28
271,"May 14, 2021",1,30
272,"April 6, 2017",1,30
273,"March 12, 2018",1,28
274,February 2018,1,30
275,"September 25, 2022",1,30
276,"April 28, 2016",1,30
277,"October 20, 2017",1,31
278,"May 18, 2023",1,27
279,"October 26, 2022",1,30
280,February 2013,1,33
281,"August 25, 2019",1,30
282,"November 30, 2023",1,30
283,"November 12, 2022",1,32
284,"July 28, 2006",1,32
285,"August 18, 2017",1,26
286,"March 1, 2025",1,30
287,"May 22, 2020",1,26
288,February 2021,1,33
289,"July 1, 2024",1,30
290,"November 1, 2020",1,30
291,"July 16, 2024",1,30
292,"June 15, 2017",1,200
293,"March 23, 2021",1,35
294,"December 15, 2025",1,76
295,"April 14, 2021",1,100
296,"June 28, 2018",1,93
297,"February 26, 2020",1,91
298,"August 31, 2022",1,90
299,"July 22, 2019",1,84
300,May 2011,1,82
301,"December 20, 2023",1,80
302,"June 1, 2019",1,80
303,December 2008,1,80
304,"July 22, 2022",1,80
305,"September 25, 2023",1,78
306,"June 15, 2022",1,75
307,"August 1, 2023",1,300
308,"July 30, 2023",1,72
309,"September 10, 2023",1,70
310,"May 17, 2021",1,66
311,"July 31, 2023",1,66
312,September 2028,1,66
313,"October 2, 2019",1,65
