,Results First Posted,count,enrolled
0,nan,850,43579
1,"August 30, 2012",1,180
2,"December 6, 2021",1,24
3,"January 7, 2020",1,23
4,"July 9, 2021",1,21
5,"August 24, 2015",1,20
6,"October 8, 2020",1,20
7,"May 11, 2022",1,16
8,"March 22, 2022",1,15
9,"February 18, 2022",1,12
10,"March 29, 2019",1,12
11,"January 15, 2015",1,12
12,"July 30, 2021",1,12
13,"October 11, 2017",1,10
14,"July 19, 2019",1,10
15,"August 14, 2017",1,9
16,"December 29, 2015",1,8
17,"August 6, 2018",1,6
18,"March 30, 2015",1,5
19,"June 30, 2021",1,24
20,"August 4, 2021",1,24
21,"July 13, 2021",1,28
22,"March 17, 2022",1,55
23,"April 26, 2021",1,125
24,"January 18, 2022",1,106
25,"June 30, 2020",1,102
26,"February 17, 2021",1,91
27,"April 27, 2021",1,65
28,"December 14, 2015",1,65
29,"April 10, 2019",1,60
30,"November 5, 2020",1,46
31,"February 5, 2020",1,30
32,"February 15, 2018",1,37
33,"January 21, 2020",1,36
34,"January 2, 2019",1,35
35,"March 16, 2022",1,32
36,"September 24, 2019",1,32
37,"May 27, 2015",1,31
38,"November 6, 2014",1,30
39,"July 8, 2019",1,2
