,Start Date,count,enrolled
0,nan,26,0
1,January 2013,18,881
2,February 2022,13,230
3,January 2016,12,754
4,March 2012,11,496
5,January 2014,11,541
6,September 2014,11,473
7,January 2015,10,483
8,January 2017,10,347
9,November 2015,10,611
10,January 2022,10,166
11,June 2015,10,154
12,"October 1, 2018",10,442
13,September 2015,9,218
14,January 2012,9,322
15,May 2015,9,153
16,July 2013,9,453
17,January 2010,8,163
18,June 2022,8,284
19,June 2010,8,90
20,December 2012,8,199
21,December 2014,8,314
22,September 2022,8,350
23,July 2014,8,575
24,November 2012,8,603
25,October 2013,8,488
26,October 2010,8,243
27,October 2012,7,193
28,October 2015,7,417
29,March 2013,7,157
30,October 2011,7,316
31,June 2012,7,719
32,"January 1, 2018",7,231
33,February 2015,7,191
34,October 2022,7,376
35,March 2014,7,162
36,October 2014,6,207
37,April 2013,6,316
38,May 2014,6,111
39,"January 1, 2020",6,464
40,September 2009,6,206
41,May 2013,6,92
42,July 2015,6,116
43,July 2010,6,203
44,April 2014,6,67
45,August 2013,6,128
46,"July 1, 2020",6,253
47,March 2011,6,322
48,December 2022,6,244
49,June 2016,6,701
50,February 2011,6,299
51,December 2016,6,135
52,April 2012,6,204
53,December 2021,6,116
54,February 2013,6,225
55,July 2012,6,397
56,"September 1, 2022",5,332
57,January 2009,5,174
58,January 2011,5,157
59,August 2016,5,245
60,"July 1, 2019",5,195
61,"March 1, 2022",5,163
62,September 2016,5,150
63,September 2011,5,134
64,March 2015,5,72
65,May 2012,5,94
66,September 2010,5,132
67,August 2008,5,161
68,"June 1, 2018",5,347
69,March 2009,5,119
70,October 2009,5,336
71,August 2014,5,173
72,December 2013,5,45
73,"October 1, 2020",4,196
74,February 2009,4,205
75,January 2008,4,230
76,"December 1, 2021",4,92
77,November 2011,4,168
78,"May 1, 2020",4,78
79,"August 1, 2020",4,124
80,"September 1, 2020",4,200
81,"June 1, 2020",4,386
82,August 2009,4,78
83,April 2015,4,104
84,December 2011,4,52
85,February 2014,4,81
86,"November 1, 2022",4,200
87,"September 1, 2019",4,493
88,November 2016,4,188
89,"June 1, 2021",4,80
90,"November 1, 2017",4,180
91,"November 1, 2020",4,320
92,May 2016,4,150
93,"January 1, 2021",4,336
94,"March 1, 2019",4,154
95,December 2015,4,74
96,May 2008,4,71
97,September 2013,4,78
98,August 2010,4,109
99,November 2014,4,122
100,March 2016,4,146
101,April 2009,4,114
102,July 2016,4,103
103,July 2011,3,100
104,"February 1, 2020",3,160
105,"January 1, 2016",3,180
106,December 2010,3,51
107,"December 1, 2022",3,68
108,"March 1, 2020",3,120
109,January 2007,3,101
110,September 2012,3,260
111,"April 1, 2020",3,623
112,"July 1, 2021",3,204
113,November 2013,3,71
114,February 2012,3,175
115,August 2022,3,154
116,March 2008,3,195
117,December 2019,3,106
118,August 2011,3,114
119,August 2015,3,45
120,February 2016,3,352
121,"April 1, 2019",3,81
122,"July 1, 2018",3,140
123,April 2011,3,81
124,"December 1, 2019",3,210
125,November 2008,3,95
126,May 2010,3,52
127,"October 20, 2017",3,137
128,April 2010,3,90
129,November 2010,3,30
130,September 2008,2,69
131,"October 6, 2021",2,42
132,"October 13, 2021",2,96
133,March 2018,2,154
134,"January 1, 2017",2,120
135,"August 1, 2017",2,22
136,"April 2, 2019",2,49
137,"August 1, 2019",2,100
138,March 2007,2,100
139,"January 20, 2022",2,130
140,"October 17, 2019",2,44
141,"April 1, 2022",2,316
142,March 2020,2,165
143,"November 4, 2020",2,44
144,November 2022,2,78
145,May 2020,2,110
146,May 2005,2,238
147,December 2018,2,77
148,"July 1, 2022",2,420
149,"December 11, 2017",2,60
150,"December 15, 2021",2,94
151,"May 20, 2019",2,215
152,"March 1, 2017",2,60
153,April 2016,2,60
154,"October 28, 2020",2,80
155,"January 1, 2014",2,46
156,"November 12, 2019",2,46
157,"August 1, 2021",2,262
158,"May 15, 2020",2,30
159,"August 3, 2020",2,30
160,November 2021,2,70
161,"April 19, 2018",2,165
162,"May 6, 2020",2,120
163,February 2021,2,180
164,October 2021,2,130
165,"November 16, 2021",2,160
166,August 2006,2,140
167,June 2014,2,51
168,"April 5, 2019",2,162
169,"December 22, 2021",2,120
170,April 2020,2,40
171,"September 6, 2017",2,50
172,October 2016,2,140
173,September 2018,2,95
174,"June 13, 2022",2,54
175,"December 1, 2017",2,60
176,June 2013,2,17
177,June 2009,2,35
178,"November 19, 2020",2,62
179,September 2021,2,18
180,"April 1, 2018",2,105
181,"September 28, 2020",2,23
182,"July 1, 2023",2,60
183,"October 1, 2022",2,10
184,July 2017,2,5
185,July 2020,2,70
186,June 2007,2,26
187,"November 27, 2019",2,25
188,"July 20, 2017",2,34
189,"January 27, 2017",2,19
190,"September 17, 2018",2,17
191,July 2009,2,13
192,August 2020,2,25
193,"November 8, 2017",2,340
194,"October 19, 2020",2,77
195,"May 26, 2021",2,260
196,"September 1, 2021",2,246
197,October 2006,2,84
198,"August 16, 2021",2,240
199,"October 1, 2021",2,220
200,"January 11, 2016",2,11
201,"November 10, 2019",2,11
202,June 2011,2,12
203,"December 1, 2020",2,20
204,"May 1, 2022",2,69
205,"October 26, 2018",2,90
206,"October 1, 2019",2,45
207,"November 30, 2020",2,469
208,"August 31, 2021",2,35
209,August 2021,2,16
210,"July 29, 2020",2,106
211,"May 16, 2016",2,145
212,"March 5, 2020",2,124
213,"April 12, 2021",2,33
214,"February 8, 2017",2,16
215,August 2012,2,10
216,"May 17, 2018",2,21
217,"September 17, 2007",2,428
218,"April 20, 2020",2,48
219,"March 11, 2019",2,14
220,February 2010,2,15
221,"May 13, 2020",1,30
222,"March 20, 2021",1,40
223,"July 2, 2019",1,40
224,"June 9, 2020",1,40
225,"July 15, 2022",1,30
226,"December 31, 2022",1,41
227,October 2017,1,40
228,"January 17, 2021",1,42
229,"May 13, 2015",1,40
230,September 2019,1,30
231,"April 10, 2020",1,30
232,"October 20, 2019",1,30
233,"November 9, 2020",1,45
234,"December 5, 2016",1,28
235,"March 18, 2018",1,28
236,April 2018,1,44
237,"August 8, 2015",1,30
238,"April 13, 2021",1,44
239,"December 7, 2022",1,30
240,"May 2, 2020",1,30
241,"January 20, 2021",1,30
242,December 2006,1,30
243,"March 4, 2020",1,43
244,"February 23, 2021",1,30
245,"October 13, 2015",1,30
246,"May 1, 2008",1,43
247,"June 27, 2018",1,40
248,"May 19, 2022",1,42
249,"May 4, 2018",1,30
250,"October 21, 2014",1,42
251,February 2006,1,30
252,"June 25, 2020",1,40
253,"February 12, 2019",1,36
254,"January 2, 2018",1,30
255,"November 4, 2019",1,34
256,"March 22, 2017",1,32
257,"May 11, 2020",1,32
258,May 2022,1,40
259,"July 11, 2018",1,33
260,"February 1, 2019",1,40
261,"October 10, 2016",1,33
262,"January 1, 2000",1,34
263,"April 24, 2020",1,40
264,"February 28, 2022",1,40
265,"August 10, 2019",1,34
266,"July 28, 2021",1,40
267,"March 11, 2018",1,30
268,January 2000,1,35
269,"March 2, 2017",1,40
270,"June 25, 2021",1,38
271,"September 7, 2017",1,35
272,"January 9, 2020",1,36
273,"September 23, 2016",1,36
274,"June 1, 2019",1,38
275,"October 15, 2022",1,36
276,April 2007,1,36
277,"September 25, 2020",1,38
278,"April 27, 2005",1,32
279,"October 1, 2013",1,40
280,"July 2, 2021",1,40
281,December 2005,1,31
282,"August 17, 2022",1,30
283,"July 20, 2020",1,30
284,"August 10, 2020",1,40
285,"November 3, 2020",1,40
286,February 2020,1,40
287,"May 19, 2011",1,37
