,Status,count,enrolled,all_count,all_enroll,allo_count,allo_enroll,auto_count,auto_enroll,both_count,both_enroll,undeclared_count,undeclared_enroll
0,Completed,431,17191,431,17191,177,8018,165,4874,24,1980,65,2319
1,Unknown status,397,19936,397,19936,185,9492,110,4982,21,613,81,4849
2,Recruiting,276,19185,276,19185,180,13999,46,2474,12,511,38,2201
3,Not yet recruiting,90,4606,90,4606,52,2292,13,1192,7,309,18,813
4,"Active, not recruiting",63,2792,63,2792,41,1196,15,1479,0,0,7,117
5,Terminated,51,993,51,993,21,604,20,247,3,109,7,33
6,Withdrawn,50,0,50,0,27,0,14,0,0,0,9,0
7,Suspended,18,749,18,749,10,571,7,128,1,50,0,0
8,No longer available,17,0,17,0,4,0,12,0,1,0,0,0
9,Enrolling by invitation,16,537,16,537,7,201,4,128,1,100,4,108
10,Available,5,0,5,0,4,0,1,0,0,0,0,0
11,Temporarily not available,3,0,3,0,1,0,2,0,0,0,0,0
