,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
0,1,NCT04125329,Mesenchymal Stem Cells|Diabetic Nephropathy,Umbilical Cord Mesenchymal Stem Cells Therapy for Diabetic Nephropathy,Human umbilical cord mesenchymal stem cells,Umbilical Cord Mesenchymal Stem Cells Therapy for Diabetic Nephropathy,Kunming,,China,"April 1, 2020"
1,2,NCT01221428,Ulcerative Colitis|Mesenchymal Stem Cells|Umbilical Cord,Umbilical Cord Mesenchymal Stem Cells Infusion for Ulcerative Colitis,Umbilical Cord Mesenchymal Stem Cells,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Infusion for Ulcerative Colitis,Qingdao,Shandong,China,September 2010
2,3,NCT03558334,Bronchopulmonary Dysplasia,Human Mesenchymal Stem Cells For Bronchopulmonary Dysplasia,Transplantation of mesenchymal stem cell|No transplantation of mesenchymal stem cell,Intravenous Human Umbilical-Cord-Derived Mesenchymal Stem Cells For Moderate and Severe Bronchopulmonary Dysplasia in Premature Infants,Chongqing,Chongqing,China,"June 28, 2018"
3,4,NCT03765957,Psoriasis,Clinical Research on Treatment of Psoriasis by Human Umbilical Cord-derived Mesenchymal Stem Cells,Mesenchymal Stem Cells,Clinical Research on Treatment of Psoriasis by Human Umbilical Cord-derived Mesenchymal Stem Cells,Changsha,Hunan,China,"February 20, 2019"
4,5,NCT01219465,"Diabetes Mellitus|Diabetes Mellitus, Type 1|Mesenchymal Stem Cells|Umbilical Cord",Umbilical Cord Mesenchymal Stem Cells Infusion for Initial Type 1 Diabetes Mellitus,umbilical cord mesenchymal stem cells,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cells Infusion for Initial Type 1 Diabetes,Qingdao,Shandong,China,September 2010
5,6,NCT02824393,Urticaria|Autoimmune Diseases|Immune System Diseases|Skin Diseases,Experimental Autologous Mesenchymal Stem Cell Therapy in Treatment of Chronic Autoimmune Urticaria,Autologous mesenchymal stem cell,Experimental Autologous Mesenchymal Stem Cell Therapy in Treatment of Chronic Autoimmune Urticaria,Manisa,,Turkey,"March 3, 2017"
6,7,NCT02118519,"Articular Cartilage Disorder of Knee|Osteoarthritis, Knee",Mesenchymal Stem Cells in Knee Cartilage Injuries,Autologous Mesenchymal Stem Cells,Use of Mesenchymal Stem Cells for the Repair of Articular Cartilage Disorder of Knee Using Intra-articular Injection of Mesenchymal Cells Alone or Mesenchymal Cells With Platelet Lysate,Amman,,Jordan,January 2014
7,8,NCT04073472,"Crohn's Disease|Fistula|Anal Fistula|Pouch, Ileal|Pouches, Ileoanal",Mesenchymal Stem Cells for the Treatment of Pouch Fistulas in Crohn's,mesenchymal stem cells (MSCs),A Phase I Study of Allogeneic Bone Marrow Derived Mesenchymal Stem Cells for the Treatment of Ileal Anal Anastomosis and Ileal Pouch Fistulas in the Setting of Crohn's Disease of the Pouch,,,,"June 1, 2021"
8,9,NCT02112500,"Respiratory Distress Syndrome, Adult",Mesenchymal Stem Cell in Patients With Acute Severe Respiratory Failure,Mesenchymal Stem Cell,A Pilot Study for the Efficacy and Safety of Mesenchymal Stem Cell in Acute Severe Respiratory Failure.,Seoul,,"Korea, Republic of",February 2014
9,10,NCT01219452,Dilated Cardiomyopathy,Intramuscular Injection of Mesenchymal Stem Cell for Treatment of Children With Idiopathic Dilated Cardiomyopathy,umbilical cord mesenchymal stem cells,Effects of Intramuscular Injection of Umbilical Cord Mesenchymal Stem Cell on the Ventricular Function of Children With Idiopathic Dilated Cardiomyopathy,Qingdao,Shandong,China,October 2010
