,Rank,NCTId,Condition,BriefTitle,InterventionName,OfficialTitle,LocationCity,LocationState,LocationCountry,StartDate
0,1,NCT01589549,Acute GVH Disease,Mesenchymal Stromal Cells for Acute Graft Versus Host Disease,Mesenchymal stromal cell therapy,A Phase 2 Trial of Standard of Care Treatment Versus Mesenchymal Stromal Cell Therapy Together With Standard of Care for the Treatment of de Novo Acute Graft Versus Host Disease Following Allogeneic Bone Marrow Transplantation,Perth,Western Australia,Australia,April 2012
1,2,NCT02387151,Rejection|Graft Loss,Allogeneic Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients,mesenchymal stromal cells,Safety of Allogeneic Bone Marrow Derived Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients,Leiden,,Netherlands,March 2015
2,3,NCT03509870,Diabetic Foot Ulcer,Bone Marrow Derived Allogeneic Mesenchymal Stromal Cells to Non-healing Diabetic Foot Wounds,mesenchymal stromal cells,Uncontrolled Non-randomised Single Dose Study of Topically Applied Bone Marrow Derived Allogeneic Mesenchymal Stromal Cells (REDDSTAR (ORBCEL-M)) in Patients With Non-healing Neuroischaemic Diabetic Foot Wounds',Gentofte,,Denmark,"June 1, 2018"
3,4,NCT04447833,"ARDS, Human|COVID",Mesenchymal Stromal Cell Therapy For The Treatment Of Acute Respiratory Distress Syndrome,Mesenchymal Stromal Stem Cells - KI-MSC-PL-205,Mesenchymal Stromal Cell Therapy For The Treatment Of Acute Respiratory Distress Syndrome Validation of Mechanistic Pathways and Clinical Efficacy,Uppsala,,Sweden,"June 17, 2020"
4,5,NCT02057965,Renal Transplant Rejection|Fibrosis,Mesenchymal Stromal Cell Therapy in Renal Recipients,Mesenchymal Stromal Cells,Autologous Bone Marrow Derived Mesenchymal Stromal Cell Therapy in Combination With Everolimus to Preserve Renal Structure and Function in Renal Recipients,Leiden,,Netherlands,March 2014
5,6,NCT01090817,Crohn Disease,An Australian Study of Mesenchymal Stromal Cells for Crohn's Disease,Mesenchymal stromal cells (MSC) for infusion,A Multicentre Australian Phase 2 Study to Evaluate Safety and Efficacy of Mesenchymal Stromal Cells for Treating Biologic Refractory Crohn's Disease,Perth,Western Australia,Australia,January 2010
6,7,NCT01522716,Graft-Versus-Host Disease,Mesenchymal Stromal Cells as Treatment of Chronic Graft-versus-host Disease,Mesenchymal stromal cells,Mesenchymal Stromal Cells as Treatment of Chronic Graft-versus-host Disease,Stockholm,,Sweden,August 2011
7,8,NCT02097641,"Respiratory Distress Syndrome, Adult",Human Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome (START),Allogeneic Bone Marrow-Derived Human Mesenchymal Stromal Cells|Plasma-Lyte A,"Prospective, Randomized, Multi-center Phase 2 Clinical Trial of Allogeneic Bone Marrow-derived Human Mesenchymal Stromal Cells (hMSCs) for the Treatment of Acute Respiratory Distress Syndrome (ARDS)",San Francisco|Stanford|Boston|Saint Paul|Columbus|Pittsburgh,California|California|Massachusetts|Minnesota|Ohio|Pennsylvania,United States|United States|United States|United States|United States|United States,"March 15, 2014"
8,9,NCT02150551,Inflammatory Bowel Diseases,Safety and Tolerability Of Allogeneic Mesenchymal Stromal Cells in Pediatric Inflammatory Bowel Disease,Allogeneic bone marrow-derived mesenchymal stromal cells,Safety and Tolerability Of Allogeneic Mesenchymal Stromal Cells in Pediatric Inflammatory Bowel Disease,Washington,District of Columbia,United States,September 2015
9,10,NCT02012153,Kidney Transplant Rejection,Mesenchymal Stromal Cells in Kidney Transplant Recipients,Mesenchymal Stromal Cells,Autologous Mesenchymal Stromal Cells to Induce Tolerance in Living-donor Kidney Transplant Recipients,Bergamo,,Italy,December 2013
