,nctids
0,NCT00081055
1,NCT00114452
2,NCT00136903
3,NCT00186914
4,NCT00221130
5,NCT00250302
6,NCT00260338
7,NCT00284986
8,NCT00294112
9,NCT00314483
10,NCT00361049
11,NCT00366145
12,NCT00395200
13,NCT00418418
14,NCT00420134
15,NCT00447460
16,NCT00476060
17,NCT00482092
18,NCT00498316
19,NCT00504803
20,NCT00515307
21,NCT00543374
22,NCT00549913
23,NCT00555828
24,NCT00557635
25,NCT00562497
26,NCT00587990
27,NCT00603330
28,NCT00609661
29,NCT00629018
30,NCT00644410
31,NCT00646724
32,NCT00658073
33,NCT00659217
34,NCT00659620
35,NCT00683722
36,NCT00690066
37,NCT00698191
38,NCT00705120
39,NCT00721045
40,NCT00731744
41,NCT00734396
42,NCT00749164
43,NCT00752479
44,NCT00759018
45,NCT00768066
46,NCT00781872
47,NCT00790764
48,NCT00810212
49,NCT00813267
50,NCT00813969
51,NCT00816803
52,NCT00823316
53,NCT00826046
54,NCT00827398
55,NCT00836732
56,NCT00850187
57,NCT00851162
58,NCT00875654
59,NCT00877903
60,NCT00883727
61,NCT00883870
62,NCT00885729
63,NCT00891501
64,NCT00908856
65,NCT00911365
66,NCT00913289
67,NCT00919958
68,NCT00951210
69,NCT00953485
70,NCT00955669
71,NCT00956891
72,NCT00957931
73,NCT00962923
74,NCT00972660
75,NCT00976287
76,NCT00976430
77,NCT00988338
78,NCT00993941
79,NCT01033552
80,NCT01038596
81,NCT01041001
82,NCT01045382
83,NCT01051882
84,NCT01056471
85,NCT01061099
86,NCT01061879
87,NCT01062750
88,NCT01065337
89,NCT01068951
90,NCT01076920
91,NCT01087996
92,NCT01090817
93,NCT01091701
94,NCT01092026
95,NCT01129739
96,NCT01142050
97,NCT01142856
98,NCT01143168
99,NCT01144962
100,NCT01157403
101,NCT01157650
102,NCT01159899
103,NCT01162915
104,NCT01166776
105,NCT01172548
106,NCT01175655
107,NCT01182662
108,NCT01183728
109,NCT01206179
110,NCT01207193
111,NCT01207661
112,NCT01207869
113,NCT01210950
114,NCT01213186
115,NCT01213953
116,NCT01216865
117,NCT01218464
118,NCT01219452
119,NCT01219465
120,NCT01220492
121,NCT01221428
122,NCT01222039
123,NCT01223664
124,NCT01224327
125,NCT01227694
126,NCT01228266
127,NCT01233102
128,NCT01233960
129,NCT01257776
130,NCT01274975
131,NCT01275612
132,NCT01290367
133,NCT01291329
134,NCT01297205
135,NCT01297218
136,NCT01297413
137,NCT01297972
138,NCT01300598
139,NCT01301664
140,NCT01302015
141,NCT01305694
142,NCT01306513
143,NCT01309061
144,NCT01314092
145,NCT01318330
146,NCT01322789
147,NCT01322906
148,NCT01323894
149,NCT01325103
150,NCT01342250
151,NCT01343511
152,NCT01351610
153,NCT01360164
154,NCT01364246
155,NCT01374854
156,NCT01377870
157,NCT01378182
158,NCT01385644
159,NCT01389661
160,NCT01392105
161,NCT01392625
162,NCT01393977
163,NCT01394432
164,NCT01399749
165,NCT01409954
166,NCT01413035
167,NCT01413061
168,NCT01420432
169,NCT01429012
170,NCT01429038
171,NCT01436058
172,NCT01440309
173,NCT01443689
174,NCT01446614
175,NCT01446640
176,NCT01448434
177,NCT01449032
178,NCT01453738
179,NCT01454336
180,NCT01456819
181,NCT01459640
182,NCT01460901
183,NCT01461720
184,NCT01463475
185,NCT01468064
186,NCT01483248
187,NCT01484574
188,NCT01489267
189,NCT01494480
190,NCT01496339
191,NCT01499056
192,NCT01499459
193,NCT01504464
194,NCT01510431
195,NCT01513694
196,NCT01522716
197,NCT01526850
198,NCT01529008
199,NCT01531348
200,NCT01532076
201,NCT01539902
202,NCT01540292
203,NCT01541579
204,NCT01547091
205,NCT01547689
206,NCT01548092
207,NCT01549665
208,NCT01552707
209,NCT01557543
210,NCT01558908
211,NCT01562002
212,NCT01573923
213,NCT01576328
214,NCT01585857
215,NCT01586312
216,NCT01589549
217,NCT01591200
218,NCT01602328
219,NCT01603836
220,NCT01605383
221,NCT01606215
222,NCT01609283
223,NCT01610440
224,NCT01623453
225,NCT01624701
226,NCT01624779
227,NCT01626625
228,NCT01626677
229,NCT01632475
230,NCT01643655
231,NCT01643681
232,NCT01649687
233,NCT01649700
234,NCT01649752
235,NCT01652209
236,NCT01659762
237,NCT01661842
238,NCT01662973
239,NCT01663116
240,NCT01663376
241,NCT01668576
242,NCT01676441
243,NCT01678534
244,NCT01686139
245,NCT01687777
246,NCT01690247
247,NCT01694927
248,NCT01696591
249,NCT01700920
250,NCT01709279
251,NCT01709656
252,NCT01714167
253,NCT01716481
254,NCT01719640
255,NCT01720888
256,NCT01724398
257,NCT01725698
258,NCT01728727
259,NCT01730547
260,NCT01733186
261,NCT01739504
262,NCT01739777
263,NCT01741090
264,NCT01741857
265,NCT01742260
266,NCT01742533
267,NCT01745744
268,NCT01745783
269,NCT01751282
270,NCT01753440
271,NCT01754454
272,NCT01758055
273,NCT01759212
274,NCT01759784
275,NCT01759797
276,NCT01759823
277,NCT01763086
278,NCT01763099
279,NCT01764100
280,NCT01765634
281,NCT01765660
282,NCT01768702
283,NCT01769872
284,NCT01770613
285,NCT01771640
286,NCT01771679
287,NCT01775774
288,NCT01777646
289,NCT01781390
290,NCT01788059
291,NCT01795950
292,NCT01803347
293,NCT01804153
294,NCT01809769
295,NCT01824069
296,NCT01824121
297,NCT01828957
298,NCT01840540
299,NCT01842477
300,NCT01843387
301,NCT01844063
302,NCT01844661
303,NCT01849159
304,NCT01849237
305,NCT01849887
306,NCT01851070
307,NCT01854125
308,NCT01854567
309,NCT01854957
310,NCT01856140
311,NCT01860417
312,NCT01872624
313,NCT01873547
314,NCT01873625
315,NCT01874015
316,NCT01874665
317,NCT01875081
318,NCT01877759
319,NCT01879046
320,NCT01892514
321,NCT01895413
322,NCT01895439
323,NCT01897987
324,NCT01902082
325,NCT01909154
326,NCT01913886
327,NCT01914887
328,NCT01915927
329,NCT01919827
330,NCT01922908
331,NCT01926327
332,NCT01929434
333,NCT01931007
334,NCT01932164
335,NCT01933802
336,NCT01941394
337,NCT01946048
338,NCT01954147
339,NCT01956903
340,NCT01957826
341,NCT01958502
342,NCT01962233
343,NCT01967186
344,NCT01981330
345,NCT01983709
346,NCT01984450
347,NCT01985464
348,NCT01985633
349,NCT01993368
350,NCT02000362
351,NCT02003131
352,NCT02012153
353,NCT02013674
354,NCT02013700
355,NCT02016508
356,NCT02017912
357,NCT02023788
358,NCT02025270
359,NCT02032004
360,NCT02032446
361,NCT02033525
362,NCT02034188
363,NCT02034786
364,NCT02035514
365,NCT02037204
366,NCT02045745
367,NCT02054208
368,NCT02055625
369,NCT02057211
370,NCT02057965
371,NCT02062931
372,NCT02064062
373,NCT02065167
374,NCT02065245
375,NCT02068794
376,NCT02083718
377,NCT02083731
378,NCT02097641
379,NCT02104440
380,NCT02104713
381,NCT02107118
382,NCT02108132
383,NCT02112500
384,NCT02116634
385,NCT02118519
386,NCT02123368
387,NCT02135380
388,NCT02138331
389,NCT02140528
390,NCT02145897
391,NCT02145923
392,NCT02150551
393,NCT02152657
394,NCT02162693
395,NCT02165904
396,NCT02166021
397,NCT02166489
398,NCT02172885
399,NCT02177565
400,NCT02181478
401,NCT02181712
402,NCT02192736
403,NCT02192749
404,NCT02195323
405,NCT02208713
406,NCT02209311
407,NCT02210624
408,NCT02213705
409,NCT02215811
410,NCT02218437
411,NCT02223897
412,NCT02230514
413,NCT02235844
414,NCT02237547
415,NCT02237846
416,NCT02239393
417,NCT02240823
418,NCT02240992
419,NCT02241018
420,NCT02247973
421,NCT02249676
422,NCT02260375
423,NCT02266394
424,NCT02270307
425,NCT02274428
426,NCT02277145
427,NCT02283879
