,name,value,saved
0,NCTIds found in scraped,1536.0,2022-10-18 09:06:47.178766
1,all found,1457.0,2022-10-18 10:11:43.947674
2,all percentage,100.0,2022-10-18 10:11:43.980526
3,allo found,727.0,2022-10-18 10:11:44.017781
4,allo percentage,49.89704873026767,2022-10-18 10:11:44.051302
5,auto found,435.0,2022-10-18 10:11:44.077065
6,auto percentage,29.855868222374745,2022-10-18 10:11:44.113809
7,both found,58.0,2022-10-18 10:11:44.140202
8,both percentage,3.980782429649966,2022-10-18 10:11:44.166705
9,geojson entry count all,2771.0,2022-10-18 11:04:48.730874
10,geojson entry count all_recent,789.0,2022-10-18 11:04:48.839361
11,geojson entry count allo,1796.0,2022-10-18 11:13:01.172904
12,geojson entry count allo_recent,565.0,2022-10-18 11:13:01.290554
13,geojson entry count auto,616.0,2022-10-18 11:14:41.919973
14,geojson entry count auto_recent,136.0,2022-10-18 11:14:41.970199
15,geojson entry count both,79.0,2022-10-18 11:14:50.923920
16,geojson entry count both_recent,21.0,2022-10-18 11:14:49.743124
17,geojson entry count undeclared,280.0,2022-10-18 11:15:26.021143
18,geojson entry count undeclared_recent,67.0,2022-10-18 11:15:26.066581
19,geojson recent percent all,28.47,2022-10-18 11:04:48.868126
20,geojson recent percent allo,31.46,2022-10-18 11:13:01.323731
21,geojson recent percent auto,22.08,2022-10-18 11:14:42.002487
22,geojson recent percent both,31.82,2022-10-18 11:14:49.774634
23,geojson recent percent undeclared,23.93,2022-10-18 11:15:26.095837
24,group total,1457.0,2022-10-18 10:11:43.919626
25,json-ed trials,1457.0,2022-10-18 10:09:53.908342
26,location geolocated count,2135.0,2022-10-18 10:48:24.306554
27,location missing count,0.0,2022-10-18 10:48:15.635690
28,location unique count,2135.0,2022-10-18 10:11:08.085761
29,scraped + downloaded trials count,1536.0,2022-10-18 09:53:03.116076
30,scraped trials count,1534.0,2022-10-18 09:52:45.415485
31,trials found applicable,1528.0,2022-10-07 21:38:43.254049
32,trials found gross,1528.0,2022-10-07 21:38:43.284462
33,trials removed for applicability,79.0,2022-10-18 10:03:08.608845
34,undeclared found,237.0,2022-10-18 10:11:44.195927
35,undeclared percentage,16.266300617707618,2022-10-18 10:11:44.224492
