type,name,manufacturer,description,url
allogeneic,AlloRx,Vitro Biopharma,derived from human umbilical cord,https://www.vitrobiopharma.com/blogs/white-papers/anti-aging-effects-of-allorx-stem-cell-therapy-stemulife
allogeneic,ALLO-ASC-DFU,Anterogen Co. Ltd.,hydrogel sheet containing MSC derived from adipose tissue,https://clinicaltrials.gov/ct2/show/NCT04590703
autologous,MSC-AFP,Mayo Clinic,autologous mesenchymal stromal cell (MSC) coated fistula plug,https://clinicaltrials.gov/ct2/show/NCT03449069
allogeneic,UMC119-06,Meridigen Biotech Co., Ltd.,ex vivo cultured human umbilical cord tissue-derived mesenchymal stem cells product,https://clinicaltrials.gov/ct2/show/NCT04206007
autologous,HB-adMSCs,Hope Biosciences,infusion of autologous adipose-derived mesenchymal stem cells,https://clinicaltrials.gov/ct2/show/NCT03691909
allogeneic,remestemcel-L / Prochymal,Mesoblast,MSCs are purified from the marrow, cultured and packaged, with up to 10k doses derived from a single donor.,https://en.wikipedia.org/wiki/Prochymal
allogeneic,ExoFlo,Direct Biologics,isolated from living human bone marrow mesenchymal stem/stromal cells (MSCs) donors,https://directbiologics.com/exoflo/
allogeneic,EN001,ENCell,allogeneic umbilical cord-derived mesenchymal stem cells,https://clinicaltrials.gov/ct2/show/NCT05338099
allogeneic,CardioCell,CardioCell,allogeneic itMSCs,https://stemcardiocell.com/technology/our-stem-cells/
autologous,XCEL-MT-OSTEO-ALPHA,Banc de Sang i Teixits,XCEL-MT-OSTEO-ALPHA is a tissue engineering product composed by "ex-vivo" expanded autologous mesenchymal stem cells fixed in allogenic bone tissue.,https://www.clinicaltrials.gov/ct2/show/NCT01605383
