"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03183726","A Follow-up Study to Evaluate the Safety of ALLO-ASC-DFU in ALLO-ASC-DFU-101 Clinical Trial",,"Completed","No Results Available","Diabetic Foot Ulcer","Biological: ALLO-ASC-DFU","Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Wound size and depth measurement","Anterogen Co., Ltd.","All","18 Years to 80 Years   (Adult, Older Adult)",,"4","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","ALLO-ASC-DFU-102","January 11, 2016","June 30, 2017","July 31, 2017","June 12, 2017",,"January 10, 2018",,,"https://ClinicalTrials.gov/show/NCT03183726"
2,"NCT03183622","A Follow-up Study to Evaluate the Safety of ALLO-ASC-DFU in ALLO-ASC-BI-101 Clinical Trial",,"Completed","No Results Available","Burn","Biological: ALLO-ASC-DFU","Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Vancouver Burn Scar Scale","Anterogen Co., Ltd.","All","18 Years and older   (Adult, Older Adult)",,"5","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","ALLO-ASC-BI-102","November 2015","July 2017","December 2017","June 12, 2017",,"January 10, 2018","Hallym university Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03183622"
3,"NCT02580617","A Study to Evaluate the Safety of ALLO-ASC-CD for Treatment of Crohn's Disease",,"Recruiting","No Results Available","Crohn's Disease","Biological: ALLO-ASC","Safety (Clinically measured abnormality of laboratory tests and adverse events)|CDAI value|The ratio of patients applicable to CDAI <150","Anterogen Co., Ltd.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","9","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ALLO-ASC-CD-101","April 2015","December 2022","June 2023","October 20, 2015",,"July 21, 2021","Yonsei University College of Medicine, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02580617"
4,"NCT04497805","Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Wagner Grade II Foot Ulcers",,"Recruiting","No Results Available","Diabetic Foot Ulcer","Biological: ALLO-ASC-SHEET","Proportions of subjects who achieved complete wound closure.|Time to initial complete wound closure between the 2 groups.|Changes in wound size compared to baseline between the 2 groups.|Proportions of subjects who achieved complete wound closure between the 2 groups by the classification of wound size.|Proportions of subjects who achieved complete wound closure between the 2 groups by the classification of location of diabetic foot ulcer.|Durability of complete wound closure for the additional 24 weeks.","Anterogen Co., Ltd.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","64","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ALLO-ASC-SHEET","August 1, 2020","June 2022","December 2022","August 4, 2020",,"January 22, 2021","University of Southern California, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04497805"
5,"NCT02394886","Safety of ALLO-ASC-DFU in the Patients With Diabetic Foot Ulcers",,"Completed","No Results Available","Diabetic Foot Ulcer","Biological: ALLO-ASC-DFU","Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Wound size and depth measurement","Anterogen Co., Ltd.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","5","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ALLO-ASC-DFU-101","November 2014","May 2015","July 2015","March 20, 2015",,"October 16, 2015","Asan Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02394886"
6,"NCT03754465","Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Foot Ulcers",,"Recruiting","No Results Available","Diabetic Foot Ulcer","Biological: ALLO-ASC-DFU|Procedure: Hydrogel SHEET(Vehicle control)","Proportions of subjects who achieved complete wound closure|Time to initial complete wound closure between the two groups|Changes in wound size compared to baseline between the two groups|Proportions of subjects who achieved complete wound closure by the classification of location of diabetic foot ulcer, Plantar and the other location between the two groups|Durability of complete wound closure","Anterogen Co., Ltd.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","56","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ALLO-ASC-SHEET-102","January 2, 2019","December 30, 2022","December 30, 2022","November 27, 2018",,"May 3, 2022","University of Southern California, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT03754465"
7,"NCT03183648","A Follow-up Study to Evaluate the Safety of ALLO-ASC-DFU in ALLO-ASC-BI-201 Clinical Trial",,"Active, not recruiting","No Results Available","Burn","Biological: ALLO-ASC-DFU","Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Vancouver Burn Scar Scale","Anterogen Co., Ltd.","All","18 Years and older   (Adult, Older Adult)",,"30","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","ALLO-ASC-BI-202","August 2016","December 2022","June 2023","June 12, 2017",,"July 21, 2021","Hallym university Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03183648"
8,"NCT03370874","Clinical Study to Evaluate Efficacy and Safety of ALLO-ASC-DFU in Patients With Diabetic Foot Ulcers.",,"Active, not recruiting","No Results Available","Diabetic Foot Ulcer","Biological: ALLO-ASC-DFU|Procedure: Vehicle sheet","Proportions of subjects who achieved complete wound closure|Time taken to complete wound closure between the two groups|Proportions of subjects who achieved complete wound closure by the classification of Wagner Grade between the two groups|Change rates in wound size and depth compared to baseline between the two groups|Proportions of subjects who achieved complete wound closure at every visit by the classification of ulcer locations","Anterogen Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","164","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ALLO-ASC-DFU-301","July 4, 2018","June 30, 2021","June 30, 2021","December 13, 2017",,"January 22, 2021","Korea University Kuro Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03370874"
9,"NCT02619877","Clinical Study to Evaluate Efficacy and Safety of ALLO-ASC-DFU in Patients With Diabetic Foot Ulcers",,"Completed","No Results Available","Diabetic Foot Ulcer","Biological: ALLO-ASC-DFU|Other: Standard therapy","Proportion of re-epithelialization|Time to re-epithelialization|Number of Participants with Adverse Events as a Measure of Safety and Tolerability","Anterogen Co., Ltd.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","59","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","ALLO-ASC-DFU-201","October 2015","September 2016","October 2016","December 2, 2015",,"September 1, 2017","Korea University Guro Hospital, Guro-gu, Seoul, Korea, Republic of|Eulji General Hospital, Nowon-Gu, Seoul, Korea, Republic of|Severance Hospital, Seodaemun-Gu, Seoul, Korea, Republic of|Asan medical center, Songpa-Gu, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02619877"
10,"NCT05157958","Study to Evaluate Safety and Efficacy of ALLO-ASC-SHEET in Subjects With Dystrophic Epidermolysis Bullosa",,"Not yet recruiting","No Results Available","Dystrophic Epidermolysis Bullosa","Biological: ALLO-ASC-SHEET|Other: Vehicle Control","Incidence of Treatment-Emergent Adverse Events|Proportion of complete wound closure","Anterogen Co., Ltd.","All","4 Years to 60 Years   (Child, Adult)","Phase 2","6","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ALLO-ASC-DEB-201","March 1, 2022","April 1, 2023","February 29, 2024","December 15, 2021",,"March 3, 2022",,,"https://ClinicalTrials.gov/show/NCT05157958"
11,"NCT02394873","A Study to Evaluate the Safety of ALLO-ASC-DFU in the Subjects With Deep Second-degree Burn Wound",,"Completed","No Results Available","Burn","Biological: ALLO-ASC-DFU","Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Time to reach re-epithelialization of wound|Vancouver Burn Scar Scale","Anterogen Co., Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 1","5","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ALLO-ASC-BI-101","March 2015","August 2015","October 2015","March 20, 2015",,"December 30, 2015","Hallym university Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02394873"
12,"NCT02384499","Treatment of Fecal Incontinence Using Allogenic-Adipose-derived Mesenchymal Stem Cells: A Prospective, Dose Escalation, Randomized, Placebo-controlled, Parallel-group, Single-blind, Single-center Pilot Study",,"Completed","No Results Available","Fecal Incontinence","Biological: ALLO-ASC injection|Drug: Placebo","Clinically measured abnormality of laboratory tests and adverse events|Satisfaction as measured by Wexner Score","Yonsei University","All","19 Years and older   (Adult, Older Adult)","Phase 1","21","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","3-2014-0271","December 2014","June 30, 2017","June 30, 2017","March 10, 2015",,"August 13, 2018","Section of Colon and Rectal Surger, Department of Surgery, Yonsei University College of Medicine, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02384499"
13,"NCT02619851","A Clinical Trial to Evaluate the Safety and Efficacy of ALLO-ASC-DFU for Second Deep Degree Burn Injury Subjects",,"Active, not recruiting","No Results Available","Burn Injury","Biological: ALLO-ASC-DFU|Device: Conventional Therapy","Time of re-epithelialization|Safety (laboratory tests and adverse events)|Burn Scar Index|healing status of the wound evidenced by photography","Anterogen Co., Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 2","22","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ALLO-ASC-BI-201","December 2015","December 2022","June 2023","December 2, 2015",,"July 21, 2021","Hallym university Medical Center, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02619851"
