"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03522545","Adjunctive Allogeneic Mesenchymal Stem Cells for Treatment-resistant Bipolar Depression",,"Recruiting","No Results Available","Treatment-resistant Bipolar Depression","Biological: Allogeneic Bone Marrow Derived Multipotent Mesenchymal Stromal Cells (MSCs)|Biological: Placebo","Change in depression as assessed by the Montgomery-Åsberg Depression Rating Scale (MADRS)|Change in Functional impairment as assessed by the Functioning Assessment Short Test (FAST)|Change in Overall functioning in living as assessed by the Global Assessment of Functioning (GAF)|Change in Clinical Global Impression Scale for Bipolar illness (CGI-BP), severity of mania subscale|Change in Clinical Global Impression Scale for Bipolar illness (CGI-BP), severity of depression subscale|Change in Clinical Global Impression Scale for Bipolar illness (CGI-BP), severity overall subscale|Change in neurocognition as assessed by the California Verbal Learning Test|Change in problem-solving ability as assessed by the Wisconsin Card Sorting Test (WCST)|Number of participants with inflammatory markers as assessed by multiplex biomarker analysis|Change in brain-derived neurotrophic factor (BDNF) level as assessed by enzyme-linked immunosorbent assay (ELISA)|Change in C-reactive protein (CRP) level as assessed by enzyme-linked immunosorbent assay (ELISA)|Number of participants with a change in brain activity between baseline and week 26 as assessed by Magnetic Resonance Imaging (MRI)|Number of participants who withdrawal due to Adverse Events (AEs)|Number of participants with suicidal ideation based on clinical assessment|Number of participants with treatment emergent mania or hypomania as assessed by the Young Mania Rating Scale (YMRS) and clinical assessment","The University of Texas Health Science Center, Houston","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HSC-MS-16-0657","June 1, 2021","July 1, 2024","July 1, 2024","May 11, 2018",,"September 7, 2022","The University of Texas Health Science Center at Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03522545"
2,"NCT02213705","Treatment of Refractory Sever Systemic Scleroderma by Injection of Allogeneic Mesenchymal Stem Cells","MSC","Active, not recruiting","No Results Available","SYSTEMIC SCLERODERMA|ALLOGENEIC MESENCHYMAL STEM CELLS|ADULT","Biological: INJECTION OF ALLOGENEIC MESENCHYMAL STEM CELLS","toxicity|survival|progression free survival|Rodnan score|Clinical response","Assistance Publique - Hôpitaux de Paris","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSC Severe Systemic Sclerosis","May 6, 2014","February 9, 2020","January 27, 2022","August 11, 2014",,"October 19, 2020","Saint-Louis Hospital, Paris, France",,"https://ClinicalTrials.gov/show/NCT02213705"
3,"NCT01956903","Treatment of Refractory Acute Graft-Versus-Host Disease by Sequential Infusion of Allogenic Mesenchymal Stem Cell.","CSM/EICH2010","Completed","No Results Available","Chronic Graft-Versus-Host Disease","Genetic: Allogenic Mesenchymal Stem Cell","Adverse effects|efficacy","Grupo Espanol de trasplantes hematopoyeticos y terapia celular","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","15","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CSM/EICH2010|2010-020947-11","January 2010","September 2013","September 2013","October 8, 2013",,"October 8, 2013","Grupo Espanol de trasplantes hematopoyeticos y terapia celular, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT01956903"
4,"NCT01775774","Human Mesenchymal Stem Cells For Acute Respiratory Distress Syndrome","START","Completed","Has Results","Acute Respiratory Distress Syndrome","Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stem Cells","Incidence of Pre-specified Infusion Associated Adverse Events|Incidence of Severe Adverse Events (SAEs)|Ventilator Free Days at Study Day 28|Duration of Vasopressor Use (Days)|ICU Free Days to Day 28|Hospital Survival to Day 60|Mortality at Hospital Discharge","Michael A. Matthay|National Heart, Lung, and Blood Institute (NHLBI)|Massachusetts General Hospital|Stanford University|University of Pittsburgh|University of Minnesota|University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 1","9","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ARDS MSC 001|1U01HL108713-01","July 2013","February 2014","February 2015","January 25, 2013","August 14, 2017","August 14, 2017","University of California San Francisco Medical Center, San Francisco, California, United States|Stanford University Medical Center, Stanford, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01775774"
5,"NCT01297413","A Study of Allogeneic Mesenchymal Bone Marrow Cells in Subjects With Ischemic Stroke",,"Completed","No Results Available","Ischemic Stroke","Biological: Allogeneic adult mesenchymal bone marrow stem cells","The primary endpoint will be the safety of treatment with aMBMC during the twelve-month study period.|National Institutes of Health Stroke Scale Score.|Mini Mental Status Exam score.|Barthel Index Score.|The Geriatric Depression Scale Score.","Stemedica Cell Technologies, Inc.|University of California, San Diego|Mercy Gilbert Medical Center at AZ|Chandler Regional Medical Center at Chandler AZ|UCI Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","38","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STEM 101-M","February 2011","September 2017","November 15, 2018","February 16, 2011",,"December 3, 2018","Mercy Gilbert and Chandler Medical Center, Gilbert, Arizona, United States|University of California Irvine Department of Neurology, Orange, California, United States|University of California San Diego Division of Neurological Surgery, San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT01297413"
6,"NCT04776239","Allogeneic Mesenchymal Human Stem Cell Infusion Therapy for Endothelial DySfunctiOn in Diabetic Subjects With Symptomatic Ischemic Heart Disease. (ACESO-IHD)","ACESO-IHD","Recruiting","No Results Available","Diabetes Mellitus|Ischemic Heart Disease","Drug: 100 million Allogeneic Mesenchymal Human Stem Cells|Other: Placebo","Post-Percutaneous Coronary Intervention (PCI) coronary artery endothelial function as assessed via CFR|Post-PCI coronary artery endothelial function as assessed via FFR|Target lesion lumen loss|Flow Mediated Diameter Percentage (FMD%)|EPC-CFUs levels|Circulating angiogenic factors marker levels|Circulating inflammatory markers|Seattle Angina Questionnaire (SAQ) Angina Frequency|EuroQol(EQ)-5 Dimension (5D) Quality of Life Questionnaire|EQ-5D Quality of life Questionnaire Overall Health Status Question|Short Form (SF) 36 Questionnaire Quality of Life Questionnaire|International Index of Erectile Function (IIEF) Questionnaire|Sexual Quality of Life - Females (SQOL-F) Questionnaire|Incidence of Treatment-Emergent Serious Adverse Events (TE-SAE)|Incidence of Major Adverse Cardiac Events (MACE)|Rates of Adverse Events|Number of participants with abnormal lab values|Number of participants with Target Vessel Failure","Joshua M Hare|National Heart, Lung, and Blood Institute (NHLBI)|University of Miami","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20200874|1R01HL134558-01","August 16, 2021","July 16, 2024","July 16, 2024","March 1, 2021",,"July 11, 2022","University of Miami, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04776239"
7,"NCT02866721","Safety and Tolerability Study of Allogeneic Mesenchymal Stem Cell Infusion in Adults With Cystic Fibrosis","CEASE-CF","Completed","No Results Available","Cystic Fibrosis","Biological: Mesenchymal Stem Cells","Dose limiting toxicity (DLT), triggered by occurrence in the first 24 hours after hMSC infusion of grade ≥3 infusion-related allergic toxicities|Incidence and severity of adverse events|Number of pulmonary exacerbations|Diary reports (Cystic Fibrosis Respiratory Symptom Diary (CFRSD))|Changes in subject reported symptoms as captured by the Respiratory Signs and Symptoms Questionnaire (RSSQ) from Baseline (Visit 2) Day 1 to Baseline (Visit 2) Day 2, Visits 3, 4, 5, 6 and 7 and at times when a pulmonary exacerbation is being considered|Changes in physical examination|Changes in vital signs including oxygen saturation checked throughout infusion|Changes in spirometry (FEV1 %, FEV1 (Liters), FEF25-75) determined 30 minutes, 4 hours, and 24 hours after completion of infusion and from Baseline (Visit 2) Day 1 to Visits 3, 4, 5, 6 and 7|Change in sputum quantitative microbiology (bacterial colony forming units between Baseline to Day 7 and Day 28)|Changes in hematology, comprehensive chemistry, ESR, hs-CRP, and urinalysis results|Change in blood inflammatory biomarkers from Baseline to Day 7 and Day 28|Change in sputum inflammatory biomarkers from Baseline to Day 7 and Day 28","Erica Roesch|Case Western Reserve University|Cystic Fibrosis Foundation|University Hospitals Cleveland Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","14","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Protocol CF-MSC-01|DASENB15A0","August 2016","August 2020","August 2020","August 15, 2016",,"December 22, 2020","University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02866721"
8,"NCT02687646","Clinical Trial With MSC for Graft Versus Host Disease Treatment",,"Active, not recruiting","No Results Available","Acute Graft Versus Host Disease","Drug: Adult Allogeneic Mesenchymal cells from adipose tissue.","Safety measured by incidence of serious adverse events|Effectiveness measured by answer of refractory acute graft disease against host to first-line treatment","Andalusian Initiative for Advanced Therapies - Fundación Pública Andaluza Progreso y Salud|Andalusian Initiative for Advanced Therapies|Andalusian Network for Design and Translation of Advanced Therapies","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","16","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSC-EICH-2014|2014-005533-32","May 2016","June 2022","June 2022","February 22, 2016",,"February 2, 2022","Clinica Universitaria de Navarra, Av Pio XII ,36, Pamplona, Navarra, Spain|Hospital Universitario Reina Sofía, Córdoba, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Hospital clinico universitario de salamanca, Salamanca, Spain|Virgen del Rocio University Hospital, av. Manuel Siurot s/n, Sevilla, Spain",,"https://ClinicalTrials.gov/show/NCT02687646"
9,"NCT02097641","Human Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome (START)","START","Completed","Has Results","Respiratory Distress Syndrome, Adult","Biological: Allogeneic Bone Marrow-Derived Human Mesenchymal Stromal Cells|Biological: Plasma-Lyte A","Numbers of Patients Occurred Pre-specified Infusion Associated Events Occurring Within 6 Hours of Study Infusion|Numbers of Patients Occurred Any Cardiac Arrest or Death Within 24 Hours of Study Infusion|Numbers of Patients Occurred Any Unexpected Severe Adverse Events (Including All-cause Deaths)|PaO2:FiO2 Change From Baseline to Day 3|Lung Injury Score From Baseline to Day 3|Oxygenation Index Change From Baseline to Day 2|SOFA Score Change From Baseline to Day 3|Number of Patients Death to Day 28|Mortality to Day 60|Number of Ventilator-free Days to Day 28|Non-pulmonary Organ-failure-free Days to Day 28|Angiopoietin 2 Change From Baseline to 6 h|Angiopoietin 2 Change From Baseline to 24 h|Interleukin 6 Change From Baseline to 6 h|Interleukin 6 Change From Baseline to 24 h|Interleukin 8 Change From Baseline to 6 h|Interleukin 8 Change From Baseline to 24 h|RAGE Change From Baseline to 6 h|RAGE Change From Baseline to 24 h","Michael A. Matthay|National Heart, Lung, and Blood Institute (NHLBI)|Massachusetts General Hospital|Stanford University|University of Pittsburgh|University of Minnesota|Ohio State University|University of California, San Francisco","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","UCSF-hMSC-ARDS-P2|1U01HL108713-01","March 15, 2014","March 9, 2017","February 9, 2018","March 27, 2014","April 10, 2019","April 10, 2019","University of California San Francisco, San Francisco, California, United States|Stanford University, Stanford, California, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Minnesota Medical Center, Saint Paul, Minnesota, United States|Ohio State University, Columbus, Ohio, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT02097641/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02097641"
10,"NCT02387151","Allogeneic Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients","Neptune","Completed","No Results Available","Rejection|Graft Loss","Drug: mesenchymal stromal cells","biopsy proven acute rejection / graft loss|Comparison of fibrosis by quantitative Sirius Red scoring|Serious adverse events|Renal function measured by cGFR (MDRD formula) and iohexol clearance|CMV, BK infection (viremia, disease and syndrome; and subtypes of BK viremia) and other opportunistic infections|Development of de novo donor specific antibodies (DSA) and immunological responses","Leiden University Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL4724400013|2013-005407-14","March 2015","November 2018","November 2018","March 12, 2015",,"July 2, 2019","Leiden University Medical Center, Leiden, Netherlands",,"https://ClinicalTrials.gov/show/NCT02387151"
