"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04447833","Mesenchymal Stromal Cell Therapy For The Treatment Of Acute Respiratory Distress Syndrome","ARDS-MSC-205","Active, not recruiting","No Results Available","ARDS, Human|COVID","Drug: Mesenchymal Stromal Stem Cells - KI-MSC-PL-205","The incidence of pre-specified treatment related adverse events of interest (TRAEIs).|Safety; All-cause mortality|Changes in Leucocytes|Changes in Trombocytes|Changes in plasma concentration of C-reactive protein (CRP)|Changes in plasma concentration of Prothrombin complex (PK)|Changes in plasma concentration of Creatinine|Changes in plasma concentration of Aspartate amino transferase (ASAT)|Changes in plasma concentration of Alanine amino transferase (ALAT)|Changes in plasma concentration of N-terminal pro-brain natriuretic peptide (NT-proBNP)|Changes in Blood pressure|Changes in Body temperature|Efficacy; Changes in pulmonary compliance|Efficacy; Changes in driving pressure (Plateau pressure- PEEP)|Efficacy; Changes in oxygenation (PaO2/FiO2)|Efficacy; Duration of ventilator support|Efficacy; Pulmonary bilateral infiltrates|Efficacy; Sequential Organ Failure Assessment (SOFA) score|Efficacy; Hospital stay|Lung function|Lung fibrosis|Six minutes walk test|Changes in Quality of life|Blood biomarkers|Sensitisation test","Uppsala University|Uppsala University Hospital","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","7","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-02238","June 17, 2020","January 30, 2021","June 30, 2025","June 25, 2020",,"March 4, 2021","Uppsala University Hospital, Uppsala, Sweden",,"https://ClinicalTrials.gov/show/NCT04447833"
2,"NCT03765957","Clinical Research on Treatment of Psoriasis by Human Umbilical Cord-derived Mesenchymal Stem Cells",,"Unknown status","No Results Available","Psoriasis","Biological: Mesenchymal Stem Cells","Number of Participants Achieving Psoriasis Area and Severity Index ≥75% (PASI 75) Improvement|Number of Participants Achieving a Physician Global Assessment (PGA) of (0, 1)|Change From Baseline in Dermatology Life Quality Index (DLQI) Total Score|Adverse event","Central South University","All","18 Years to 65 Years   (Adult, Older Adult)","Early Phase 1","12","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2018-MSC/CSU/PS","February 20, 2019","July 31, 2020","June 1, 2021","December 5, 2018",,"September 23, 2020","Xiangya Hospital, Central South University, Changsha, Hunan, China",,"https://ClinicalTrials.gov/show/NCT03765957"
3,"NCT04073472","Mesenchymal Stem Cells for the Treatment of Pouch Fistulas in Crohn's","IPAAF","Withdrawn","No Results Available","Crohn's Disease|Fistula|Anal Fistula|Pouch, Ileal|Pouches, Ileoanal","Drug: mesenchymal stem cells (MSCs)","Safety and Feasibility: Number Of Adverse Events|Radiographic Healing|Clinical Healing","The Cleveland Clinic","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","0","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment",,"June 1, 2021","June 1, 2022","June 1, 2023","August 29, 2019",,"April 5, 2022",,,"https://ClinicalTrials.gov/show/NCT04073472"
4,"NCT03558334","Human Mesenchymal Stem Cells For Bronchopulmonary Dysplasia",,"Unknown status","No Results Available","Bronchopulmonary Dysplasia","Drug: Transplantation of mesenchymal stem cell|Drug: No transplantation of mesenchymal stem cell","Number of participants with adverse reactions related to infusion after treatment|Changes of high-resolution chest CT in participants|Changes of temperature in participants|Changes of blood pressure in participants|Changes of heart rate in participants|Changes of respiratory rate in participants|Changes of oxygen saturation in participants|Growth velocity (Z-score) in participants","Children's Hospital of Chongqing Medical University","All","28 Days and older   (Child, Adult, Older Adult)","Phase 1","12","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","XYunqiu","June 28, 2018","December 31, 2021","June 30, 2022","June 15, 2018",,"May 21, 2019","Children's Hospital of Chongqing Medical University, Chongqing, Chongqing, China",,"https://ClinicalTrials.gov/show/NCT03558334"
5,"NCT02387151","Allogeneic Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients","Neptune","Completed","No Results Available","Rejection|Graft Loss","Drug: mesenchymal stromal cells","biopsy proven acute rejection / graft loss|Comparison of fibrosis by quantitative Sirius Red scoring|Serious adverse events|Renal function measured by cGFR (MDRD formula) and iohexol clearance|CMV, BK infection (viremia, disease and syndrome; and subtypes of BK viremia) and other opportunistic infections|Development of de novo donor specific antibodies (DSA) and immunological responses","Leiden University Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL4724400013|2013-005407-14","March 2015","November 2018","November 2018","March 12, 2015",,"July 2, 2019","Leiden University Medical Center, Leiden, Netherlands",,"https://ClinicalTrials.gov/show/NCT02387151"
6,"NCT02824393","Experimental Autologous Mesenchymal Stem Cell Therapy in Treatment of Chronic Autoimmune Urticaria",,"Completed","No Results Available","Urticaria|Autoimmune Diseases|Immune System Diseases|Skin Diseases","Biological: Autologous mesenchymal stem cell","Change from baseline in weekly urticaria activity scores.|Follow-up of the mesenchymal stem cell treatment-related side effects according to World Health Organisation (WHO) Toxicity Grading Scale for Determining The Severity of Adverse Events.|The changes in the ratios of peripheral blood cluster of differentiation 4 (CD4) T cell subsets.|The changes in ratios of peripheral blood inflammatory and anti-inflammatory cytokines.|The changes in the levels of peripheral blood anti-FcεRI autoantibody","Celal Bayar University|The Scientific and Technological Research Council of Turkey|Acıbadem Labcell","All","18 Years to 65 Years   (Adult, Older Adult)","Early Phase 1","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TUBITAK-1001-215S612","March 3, 2017","May 15, 2018","July 15, 2018","July 6, 2016",,"July 18, 2018","Celal Bayar University, Medical School, Manisa, Turkey",,"https://ClinicalTrials.gov/show/NCT02824393"
7,"NCT01589549","Mesenchymal Stromal Cells for Acute Graft Versus Host Disease",,"Unknown status","No Results Available","Acute GVH Disease","Biological: Mesenchymal stromal cell therapy","Survival at one year after onset of graft versus host disease|Response at 14 days after commencement of treatment for acute graft versus host disease|Response at 28 days after commencement of treatment of acute graft versus host disease|Incidence of severe infection|Disease free survival at one year|Time to treatment failure, requiring salvage therapy","R.P.Herrmann|Royal Perth Hospital","All","18 Years to 55 Years   (Adult)","Phase 2","66","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2011/128|CTN 2012/0174","April 2012","December 2015","December 2016","May 2, 2012",,"June 9, 2015","Royal Perth Hospital, Perth, Western Australia, Australia",,"https://ClinicalTrials.gov/show/NCT01589549"
8,"NCT02057965","Mesenchymal Stromal Cell Therapy in Renal Recipients","MSCs","Unknown status","No Results Available","Renal Transplant Rejection|Fibrosis","Drug: Mesenchymal Stromal Cells","Fibrosis by quantitative Sirius Red scoring of MSC treated and untreated groups|Renal function and proteinuria|Number of participants with CMV and BK infection an other opportunistic infections between groups|Number of participants with adverse events|composite end point efficacy failure (biopsy proven acute rejection, graft loss or death)|Presence of donor specific antibodies and immunologic monitoring|Progression of subclinical cardiovascular disease in the different treatment groups bij assessing echocardiographic parameters","Leiden University Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL43712.000.13|2013-000819-25","March 2014","January 2020","January 2022","February 7, 2014",,"September 17, 2020","Leiden University Medical Center, Leiden, Netherlands",,"https://ClinicalTrials.gov/show/NCT02057965"
9,"NCT02247973","Mesenchymal Stem Cells Co-transplantation in Alternative Donor Transplantation of Severe Aplastic Anemia.",,"Unknown status","No Results Available","Severe Aplastic Anemia","Biological: mesenchymal stem cells","survival rate|acute GVHD|chronic GVHD|Transplant-related mortality|Rates of relapse|The implantation","Guangzhou General Hospital of Guangzhou Military Command|Guangzhou First People's Hospital|Nanfang Hospital of Southern Medical University|Southern Medical University, China|First Affiliated Hospital, Sun Yat-Sen University|Second Affiliated Hospital, Sun Yat-Sen University|Third Affiliated Hospital, Sun Yat-Sen University|Fifth Affiliated Hospital, Sun Yat-Sen University|Guangdong Provincial People's Hospital|The Second People's Hospital of GuangDong Province|First Affiliated Hospital of Jinan University|The First Affiliated Hospital of Guangzhou Medical University|Second Affiliated Hospital of Guangzhou Medical University|Peking University Shenzhen Hospital|Shenzhen Second People's Hospital","All","14 Years to 50 Years   (Child, Adult)","Phase 2","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSC-alternative donor SCT-SAA","February 2013","February 2017","February 2018","September 25, 2014",,"September 25, 2014","Guangzhou General Hospital of Guangzhou Military Command, Guangzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT02247973"
10,"NCT01221428","Umbilical Cord Mesenchymal Stem Cells Infusion for Ulcerative Colitis",,"Unknown status","No Results Available","Ulcerative Colitis|Mesenchymal Stem Cells|Umbilical Cord","Biological: Umbilical Cord Mesenchymal Stem Cells","the result of enteroscopy and pathological report|the clinical symptom (including stomachache,abdominal distention,bloody purulent stool)","Qingdao University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MSCKJ004","September 2010","September 2012","December 2012","October 15, 2010",,"October 15, 2010","Stem Cell Research Center of Medical School Hospital of Qingdao University, Qingdao, Shandong, China",,"https://ClinicalTrials.gov/show/NCT01221428"
