"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02963727","Use of Wharton Jelly Derived Mesenchymal Stem Cells for Knee Osteoarthrosis",,"Recruiting","No Results Available","Knee Osteoarthrosis","Biological: Wharton Jelly derived mesenchymal stem cell","Evaluation of the safety and tolerability of the intra articular injection|Assessment of the efficacy of intra-articular injection of WJMSC","Hanan Jafar|University of Jordan","All","42 Years to 75 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AlloKneeUJCTC","January 27, 2017","October 2021","December 2021","November 15, 2016",,"April 28, 2021","Cell Therapy Center, Amman, Jordan",,"https://ClinicalTrials.gov/show/NCT02963727"
2,"NCT04224207","Management of Retinitis Pigmentosa by Mesenchymal Stem Cells by Wharton's Jelly Derived Mesenchymal Stem Cells","WJ-MSC","Completed","No Results Available","Retinitis Pigmentosa|Inherited Retinal Dystrophy","Biological: Wharton's jelly derived mesenchymal stem cell","ETDRS visual acuity|Outer retinal thickness","Ankara Universitesi Teknokent","All","18 Years to 60 Years   (Adult)","Phase 3","32","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","01.11.2018/01","April 1, 2019","October 30, 2019","January 1, 2020","January 13, 2020",,"January 13, 2020","Ankara University Biotechnology Institute, Ankara, Türkiye, Turkey|Umut Arslan, Ankara, Türkiye, Turkey",,"https://ClinicalTrials.gov/show/NCT04224207"
3,"NCT03751735","Efficacy of Wharton Jelly in Erectile Dysfunction",,"Completed","No Results Available","Erectile Dysfunction Associated With Type 2 Diabetes Mellitus","Biological: Wharton Jelly Mesenchymal stem cells","Assessment of the efficacy of injecting Wharton Jelly derived Mesenchymal Stem Cells by Penile Doppler ultrasonography.|Assessment of the efficacy of injecting Wharton Jelly derived Mesenchymal Stem Cells by SHIM/IIEF/EHS questionnaires","Sophia Al-Adwan|University of Jordan","Male","25 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","9","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","WJEF.EDUJCTC","January 27, 2017","January 13, 2019","February 26, 2019","November 23, 2018",,"April 10, 2019","Cell Therapy Center, Amman, Jordan",,"https://ClinicalTrials.gov/show/NCT03751735"
4,"NCT04390152","Safety and Efficacy of Intravenous Wharton's Jelly Derived Mesenchymal Stem Cells in Acute Respiratory Distress Syndrome Due to COVID 19",,"Recruiting","No Results Available","Acute Respiratory Distress Syndrome","Drug: Wharton's jelly derived Mesenchymal stem cells.|Drug: Hydroxychloroquine, lopinavir/ritonavir or azithromycin and placebo (standard therapy)","Intergroup mortality difference with treatment|Number of patients with treatment related adverse events|Difference in days of mechanical ventilation between groups|Median reduction of days of hospitalization|Median reduction of days of oxygen needs|Difference between ""Sequential Organ Failure Assessment"" score between groups|Difference between median Murray score between groups|Difference in APACHE II score between groups|Difference in lymphocyte count between groups|Changes in C reactive protein concentration between groups|Changes in D dimer concentration|Changes in ferritin concentration|Changes in lactate dehydrogenase concentration|Impact on interleukin 6 concentrations between groups.|Impact on interleukin 8 concentrations between groups.|Impact on interleukin 10 concentrations between groups.|Impact on tumor necrosis factor alpha concentrations between groups.","BioXcellerator|Clinical Somer","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","40","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","BIOXSOMCOV001","January 13, 2020","December 2021","April 2022","May 15, 2020",,"January 15, 2021","BioXcellerator, Medellin, Antioquia-CO, Colombia|Clinical Somer, Rionegro, Antioquia, Colombia",,"https://ClinicalTrials.gov/show/NCT04390152"
5,"NCT02945449","Safety of Wharton Jelly in Erectile Dysfunction",,"Completed","No Results Available","Erectile Dysfunction Associated With Type 2 Diabetes Mellitus","Biological: Wharton Jelly Mesenchymal stem cells","Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Assessment of the efficacy of injecting Wharton Jelly derived Mesenchymal Stem Cells by SHIM/IIEF/EHS questionnaire","Sophia Al-Adwan|University of Jordan","Male","25 Years to 70 Years   (Adult, Older Adult)","Phase 1","9","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","WJ.EDUJCTC","January 4, 2017","October 15, 2018","November 2018","October 26, 2016",,"November 15, 2018","Cell Therapy Center, Amman, Jordan",,"https://ClinicalTrials.gov/show/NCT02945449"
6,"NCT05413148","The Effect of Stem Cells and Stem Cell Exosomes on Visual Functions in Patients With Retinitis Pigmentosa",,"Recruiting","No Results Available","Retinitis Pigmentosa","Biological: Subtenon injection of Wharton jelly derived mesenchymal stem cells|Biological: Subtenon injection of Wharton jelly derived mesenchymal stem cell exosomes|Other: Placebo","Evaluation of best corrected visual acuity change|Evaluation of visual field change|Evaluation of multifocal ERG changes|Evaluation of ERG changes|Evaluation of optical coherence tomography changes|Evaluation of optical coherence tomography angiography changes","TC Erciyes University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2|Phase 3","135","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TSG-2021-11599.","August 5, 2022","July 1, 2023","December 15, 2023","June 9, 2022",,"September 7, 2022","Erciyes University, Faculty of Medicine, Kayseri, Turkey",,"https://ClinicalTrials.gov/show/NCT05413148"
7,"NCT04625738","Efficacy of Infusions of MSC From Wharton Jelly in the SARS-Cov-2 (COVID-19) Related Acute Respiratory Distress Syndrome","MSC-COVID19","Completed","No Results Available","COVID19 ARDS","Biological: Ex vivo expanded Wharton's Jelly Mesenchymal Stem Cells|Biological: Placebo","PaO2 / FiO2 ratio|respiratory function evolution|respiratory assistance|organ failures 1|organ failures 2|organ failures 3|duration of intensive care|Cause of death|respiratory morbidity (TDM, functional respiratory measures)|viral load|Anti-HLA antibody rate|immediate hypersensitivity reactions|thromboembolic adverse events 1|thromboembolic adverse events 2|infectious adverse events","Central Hospital, Nancy, France","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2020-002772-12","November 6, 2020","May 14, 2021","September 1, 2021","November 12, 2020",,"November 5, 2021","Nancy University Hospital, Vandœuvre-lès-Nancy, France",,"https://ClinicalTrials.gov/show/NCT04625738"
8,"NCT04651855","The Evaluation of the Effect of Mesenchymal Stem Cells on the Immune System of Patients With ALS","ALSTEM","Active, not recruiting","No Results Available","Amyotrophic Lateral Sclerosis","Drug: Mesenchymal stem cells isolated from Wharton's jelly","The number of (S)AESI [(Serious) Adverse Event of Special Interest]|Disease progression|Pulmonary function decline|Muscle strength decline|Upper motor neuron function|Cognitive function|Quality of life changes|The change of defined cytokines, chemokines, growth factors and pNFH (phosphorylated neurofilament heavy chain) level in CSF (Cerebrospinal fluid)|The change of defined cytokines, chemokines level in blood|The change of creatinine and p75ECD level in urine|Muscle function changes|The change of the brain visualization|SAE (Serious Adverse Event)/AE (Adverse Event) and (S)AESI|Survival period to disease progression|Mortality rate","Polski Bank Komorek Macierzystych JSC (PBKM)|National Center for Research and Development, Poland","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ALSTEM","December 2, 2020","March 8, 2022","April 2023","December 3, 2020",,"May 3, 2022","JST sp. z o.o., Częstochowa, Poland",,"https://ClinicalTrials.gov/show/NCT04651855"
9,"NCT04551456","WJMSCs Anti-inflammatory Therapy in Coronary Artery Disease","WANICHD","Not yet recruiting","No Results Available","Coronary Artery Disease","Biological: Intravenous infusion human umbilical Wharton's jelly-derived mesenchymal stem Cell or placebo PBS","The primary end point was checking incidence of adverse events (AEs) within 12 months,|The secondary end point was measuring low attenuation plaque volume LAPV|The secondary end point was efficacy 2","Navy General Hospital, Beijing|Chinese PLA General Hospital|Peking University Third Hospital|Peking Union Medical College Hospital|Xijing Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","NavyGHB-007","November 30, 2020","December 30, 2021","December 30, 2022","September 16, 2020",,"September 16, 2020",,,"https://ClinicalTrials.gov/show/NCT04551456"
10,"NCT03003364","Intrathecal Administration of Expanded Wharton's Jelly Mesenchymal Stem Cells in Chronic Traumatic Spinal Cord Injury",,"Completed","No Results Available","Spinal Cord Injury, Chronic","Drug: XCEL-UMC-BETA|Drug: Placebo","Incidence of treatment-emergent adverse events|Extent and severity of a patient's spinal cord injury|Motor electrophysiology assessment|Somatosensory electrophysiology assessment|Electrical nerve stimulation on pain perception|Mictional dysfunction|Anal sphincter integrity|Neuropathic pain|Spasticity|Functionality|Quality of life (individual overall perception of quality of life, individual overall perception of their health, Physical health, Psychological, Social relationships, Environment)|Urinary disorder|Size injury|Presence of allogeneic cells|Immunology","Banc de Sang i Teixits|Hospital de Neurorehabilitació Institut Guttmann|Recerca Clínica S.L.|Syntax for Science, S.L","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","10","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","XCEL-SCI-01","December 27, 2016","July 25, 2019","February 11, 2020","December 28, 2016",,"February 17, 2020","Hospital de Neurorehabilitació Institut Guttmann, Badalona, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT03003364"
